label,name,glottocode,rate,rate_median
VasiVariPaski,Vâsi-vari: Paṣki,lowe1390,0.011535648171586234,0.01121538278510573
Khowar,Khowar,khow1242,0.008191360607911969,0.007923268511524792
PashaiNorthWest,Pashai: North-West,nort2665,0.006272002785130452,0.006079640974825433
Pali,Pali,pali1273,0.0021673442119551976,0.0020172127390446553
VedicEarly,Vedic: Early,vedi1234,0.0027579457424933315,0.0023892221427958167
AvestanYounger,Avestan: Younger,aves1237,0.002428215835789409,0.002174528260489315
Bactrian,Bactrian,bact1239,0.001909998831687231,0.0018030916911877942
Khotanese,Khotanese,khot1251,0.003941758275430882,0.003671648151812405
Bakhtiari,Bakhtiari,bakh1245,0.002677368624359868,0.002567439188557958
Delvari,Delvari,sout2645,0.0031223900978926008,0.0029270599356700073
Lari,Lari,lari1253,0.006000976381157939,0.00564324960499383
PersianTehran,Persian: Tehran,west2369,0.002469742773656772,0.002369504060217506
Kumzari,Kumzari,kumz1235,0.007383799240800662,0.007198340089912094
Mazanderani,Mazanderani,maza1291,0.0050255604914697305,0.004700137891217686
Tati,Tati,take1255,0.0030538771773876475,0.002864960568831354
RajiBarzoki,Raji: Barzoki,cent2264,0.003036895470351004,0.0028925175622444466
Hawrami,Hawrami,hawr1243,0.004804405134659779,0.004500100968983305
KurdishCJafi,Kurdish C.: Jafi,cent1972,0.0031547510346461,0.0029666142197096986
KurdishSQorveh,Kurdish S.: Qorveh,koly1245,0.004033375670615926,0.003834525784748634
KurdishSElami,Kurdish S.: Elami,feyl1238,0.003980309397382238,0.003752291007467942
BalochiSistani,Balochi: Sistani,west2368,0.0038388188357870523,0.0036653307406606067
KurdishNBahdini,Kurdish N.: Bahdini,nort2641,0.004810317817417665,0.004514516830590133
MiddlePersian,Middle Persian,pahl1241,0.0034306851536435186,0.0031328029767355116
Parthian,Parthian,part1239,0.0042595467751578575,0.003866833787791283
OldPersian,Old Persian,oldp1254,0.004387818977501565,0.003906571183654648
Khwarazmian,Khwarazmian,khwa1238,0.0038128356439312934,0.0036623990926220487
Sogdian,Sogdian,sogd1245,0.004010161975072127,0.003618950534681942
Yaghnobi,Yaghnobi,yagn1238,0.004843669242612297,0.004756551180953062
Pashto,Pashto,yusu1238,0.005824260806766559,0.005680861962137492
Sarikoli,Sarikoli,sari1246,0.00675291367264453,0.006425907232106211
Wakhi,Wakhi,wakh1245,0.00654557708481702,0.006222266832372316
OsseticDigor,Ossetic: Digor,digo1242,0.0028598599235080636,0.0025219177246196267
OsseticIron,Ossetic: Iron,iron1242,0.0037263401830421516,0.0032850078241834077
Hittite,Hittite,hitt1242,0.004269452426406655,0.003854141855187767
Luvian,Luvian,cune1239,0.005663764132158142,0.00510757088357635
TocharianA,Tocharian A,tokh1242,0.004645721240771728,0.0041209488472714936
TocharianB,Tocharian B,tokh1243,0.0026051294917665254,0.002292585665965699
