lang,name,glottocode,rate,rate_median
MayiThakurti,MayiThakurti,mayk1239,1.98710766421996e-06,1.9017259900056592e-06
Wanamara,Wanamara,wunu1234,2.640146291001477e-06,2.4822381429392225e-06
MayiKutuna,MayiKutuna,maya1280,1.8893528691214799e-06,1.7854158793219877e-06
Awabakal,Awabakal,awab1243,3.4277600279852297e-06,3.2210542525778307e-06
Karree,Karree,awab1243,1.8249313840057859e-06,1.7361748828307061e-06
Darkinyung,Darkinyung,awab1243,1.8710641628400566e-06,1.8242405328442817e-06
Katthang,Katthang,wori1245,2.1400216312255234e-06,2.0168858478767593e-06
SteeleGDG,SteeleGDG,wori1245,2.1919625616743674e-06,2.066315712863261e-06
Birrpayi,Birrpayi,sydn1236,1.8269966439650346e-06,1.7415320648351387e-06
Iyora,Iyora,sydn1236,2.325507564981362e-06,2.1746937386818256e-06
Dharuk,Dharuk,sydn1236,1.905670656701081e-06,1.8340447087268764e-06
Thanggatti,Thanggatti,dyan1250,2.276969438616613e-06,2.2295917149930708e-06
Hawkesbury,Hawkesbury,hawk1239,2.367061231518061e-06,2.223167677737668e-06
PortMacQuarie,PortMacQuarie,sydn1236,2.7857836597265016e-06,2.6978046205371354e-06
Dharawal,Dharawal,thur1254,1.681424780692928e-06,1.5683525657888505e-06
Thurrawal,Thurrawal,thur1254,1.597015580972791e-06,1.528990522082769e-06
Dhurga,Dhurga,dhur1239,2.6033542977949515e-06,2.573251419352491e-06
Gundungurra,Gundungurra,nort2760,2.572012376261559e-06,2.4665562831805164e-06
Ngunawal,Ngunawal,nort2760,2.061249200737275e-06,1.9931769219269533e-06
Jaitmatang,Jaitmatang,sout2771,4.615122492449864e-06,4.436584009425056e-06
Ngarigu,Ngarigu,sout2771,2.5876558160240113e-06,2.4789652930507564e-06
Moneroo,Moneroo,sout2771,2.1293243972340597e-06,2.0720470983716338e-06
Gamilaraay,Gamilaraay,gami1243,1.1993740046582092e-06,1.1594134895636991e-06
Kamilaroi,Kamilaroi,gami1243,3.1487706896904514e-06,2.898869711756346e-06
Yuwaalaraay,Yuwaalaraay,gami1243,1.9916871039356697e-06,1.9328072810457144e-06
Ngiyambaa,Ngiyambaa,wang1291,2.1605694247609775e-06,2.091749061683916e-06
Wiradjuri,Wiradjuri,wira1262,2.6604369739121437e-06,2.572443750558675e-06
Wailwan,Wailwan,wayi1238,1.9007026930606003e-06,1.8293579880180283e-06
Muruwari,Muruwari,muru1266,1.7459737079768694e-06,1.7053333028534728e-06
Bandjalang,Bandjalang,band1358,1.6897210493978608e-06,1.6044213759979278e-06
Githabul,Githabul,gida1240,6.1218768542705464e-06,5.926903451200276e-06
Minjungbal,Minjungbal,minj1242,1.8314589973562877e-06,1.7323780405577154e-06
TweedRiverandPointDangar,TweedRiverandPointDangar,yuga1244,1.5484478912669435e-06,1.407534247650101e-06
NerangCreek,NerangCreek,yugu1249,1.25142335293177e-06,1.2222862249232108e-06
NggoiMwoi,NggoiMwoi,band1339,2.121402839872391e-06,2.067990516224791e-06
Yugambeh,Yugambeh,yugu1249,1.363327477348587e-06,1.3235187480734241e-06
Coobenpil,Coobenpil,yaga1256,2.208943000999444e-06,2.0864413146313273e-06
Durubul,Durubul,yaga1256,1.6643850413259111e-06,1.5873199712272525e-06
Janday,Janday,jand1248,2.652401491861376e-06,2.472288258288792e-06
Yagara,Yagara,yaga1256,2.1816027414214e-06,2.0860151725421616e-06
Yugarabul,Yugarabul,yaga1256,2.2952079806965247e-06,2.2182240436568396e-06
Guwar,Guwar,guwa1244,2.031032642353472e-06,1.9748371321616763e-06
Batyala,Batyala,baty1234,1.6890943486608103e-06,1.64215368191281e-06
Dalla,Dalla,waka1274,2.098899775139999e-06,2.013189668718402e-06
MaryRiverandBunyaBunyaCountry,MaryRiverandBunyaBunyaCountry,kabi1260,3.3225355999443634e-06,3.1613758751798236e-06
Bayali,Bayali,baya1257,4.461565215208369e-06,4.229809521663012e-06
GoorengGooreng,GoorengGooreng,gure1255,2.7208581721111773e-06,2.6823980461748147e-06
