ascii,mean_distance,median_distance
Umpila,11287.84,10730.382
Umpithamu,9956.034,10407.823
UpperBrisbaneRiver,10213.162,9965.115
UpperParoo,19277.991,17996.15
Uradhi,12797.403,11951.459
UwOykangand,2482.557,921.436
Wadikali,15508.124,13042.409
Wadjabangayi,20084.686,16316.539
Wailwan,10972.117,8197.63
Wajarri,24039.235,15970.087
WakaWaka,10213.162,9965.115
Wakaya,28637.034,16781.483
Walangama,6088.16,4701.747
WalmajarriHR,22672.544,20474.134
WalmajarriNW,22672.544,20474.134
Wanamara,22169.175,19688.697
Wangkajunga,22196.802,17968.995
Wangkangurru,21636.874,13115.345
Wangkayutyuru,18606.234,13634.759
Wangkumara,9151.382,4922.501
WangkumaraMcDWur,9151.382,4922.501
Wardandi,16495.858,11053.317
Wargamay,33580.992,28378.956
Warlmanpa,24114.01,23015.209
Warlpiri,24006.729,23280.247
Warluwarra,10561.014,8939.183
Warnman,19156.09,17063.941
Warriyangga,27764.834,23402.383
Warrnambool,3436.16,2267.002
Warumungu,26730.692,23320.037
Warungu,13331.538,12708.156
Wathawurrung,5608.739,4450.576
Wathiwathi,4569.507,3900.839
Watjuk,10212.254,7653.652
WembaWemba,4635.757,2239.249
WesternArrarnta,18864.187,18530.582
WikMungkan,4515.184,3861.267
Wiradjuri,12160.856,7736.718
Wirangu,24710.733,19127.253
Woiwurrung,8109.252,5746.083
Wulguru,6730.196,4957.358
YabulaYabula,4097.028,3222.806
Yadhaykenu,13332.669,5616.727
Yagara,9975.569,6453.035
Yalarnnga,10527.227,8954.464
Yambina,14734.978,12233.468
Yanda,28805.03,27064.434
Yandruwandha,7529.798,4801.917
Yanyuwa,3371.02,1879.11
Yardliyawarra,19552.846,18776.834
Yarluyandi,2332.497,1225.486
Yawarrawarrka,10258.025,5692.257
Yaygirr,1976.882,899.219
Yidiny,16046.592,17294.496
Yindjibarndi,39881.901,42112.095
Yindjilandji,19834.729,17946.083
Yingkarta,10995.383,5922.133
Yinhawangka,37762.926,36082.139
Yiningay,10403.539,8140.009
Yinwum,12240.655,10506.168
YirYoront,1624.305,1061.324
Yirandali,21986.442,15500.066
YithaYitha,4102.637,3579.879
YortaYorta,4290.94,2470.433
Yulparija,28273.308,26033.993
Yuwaalaraay,13968.456,12720.422
Zorc,3470.971,3209.769
