lang,mean_distance,median_distance
WakaWaka,18430.152,10232.124
Wakaya,36790.155,33658.422
Walangama,17964.866,14788.99
WalmajarriHR,86451.805,71969.187
WalmajarriNW,86451.805,71969.187
Wanamara,44629.781,39887.442
Wangkajunga,33244.136,24034.428
Wangkangurru,54732.37,46050.074
Wangkayutyuru,55969.444,45713.242
Wangkumara,22738.505,20006.88
WangkumaraMcDWur,22738.505,20006.88
Wardandi,4477.704,2755.594
Wargamay,10038.313,10162.273
Warlmanpa,95327.282,87648.08
Warlpiri,57902.318,40098.199
Warluwarra,40044.156,29077.803
Warnman,45918.983,45778.15
Warriyangga,2445.374,1508.298
Warrnambool,4034.17,3788.541
Warumungu,36633.44,32386.544
Warungu,17671.803,16209.684
Wathawurrung,3436.921,2806.69
Wathiwathi,3918.681,2288.038
Watjuk,7644.111,4795.202
WembaWemba,14842.192,10996.833
WesternArrarnta,27147.209,22240.145
WikMungkan,18053.584,13197.441
Wiradjuri,17247.511,17456.119
Wirangu,42070.241,40676.028
Woiwurrung,2430.317,1300.261
Wulguru,8241.479,6748.709
YabulaYabula,3759.638,2157.549
Yadhaykenu,26154.939,22934.396
Yagara,5605.4,4274.619
Yalarnnga,34448.438,27854.792
Yambina,54673.326,49476.0
Yanda,22330.579,20638.317
Yandruwandha,7883.465,6522.071
Yanyuwa,29513.755,27737.166
Yardliyawarra,13232.611,11740.593
Yarluyandi,9672.581,8067.211
Yawarrawarrka,10929.465,8403.902
Yaygirr,3859.724,2922.159
Yidiny,7471.633,7018.611
Yindjibarndi,18105.226,12002.856
Yindjilandji,86025.14,84470.778
Yingkarta,13586.523,11284.841
Yinhawangka,72912.22,69913.02
Yiningay,34447.117,29147.841
Yinwum,23160.256,22756.687
YirYoront,24712.357,10827.692
Yirandali,37370.412,33566.556
YithaYitha,23005.799,18899.175
YortaYorta,3128.945,2182.143
Yulparija,50508.096,42179.928
Yuwaalaraay,4993.217,3734.555
Zorc,41120.518,37386.862
