lang,mean_distance,median_distance
Wailwan,15052.171,11392.247
Wajarri,33226.354,26731.631
WakaWaka,13881.202,13122.354
Wakaya,38179.88,24290.918
Walangama,8165.823,7281.473
WalmajarriHR,179617.259,158283.348
WalmajarriNW,179617.259,158283.348
Wanamara,26096.899,24362.701
Wangkangurru,131229.97,136043.233
Wangkayutyuru,45167.376,29801.052
Wangkumara,15622.132,14366.435
WangkumaraMcDWur,15622.132,14366.435
Wardandi,16520.531,11053.317
Wargamay,33580.992,28378.956
Warlmanpa,94075.172,82635.378
Warlpiri,91393.761,81061.129
Warluwarra,20214.371,17813.429
Warnman,110307.026,113400.661
Warriyangga,39852.887,26969.279
Warrnambool,3529.795,2393.395
Warumungu,61947.183,53995.897
Warungu,17654.69,15410.763
Wathawurrung,5722.288,4450.576
Wathiwathi,5143.689,4063.161
Watjuk,10514.618,7653.652
WembaWemba,7035.209,5651.452
WesternArrarnta,159535.667,151057.017
WikMungkan,4518.545,3861.267
Wiradjuri,14427.854,10073.16
Wirangu,82066.512,71239.277
Woiwurrung,8260.021,5983.343
Wulguru,50517.858,49564.783
YabulaYabula,4220.652,3222.806
Yadhaykenu,13332.669,5616.727
Yagara,12980.28,10906.279
Yalarnnga,24945.061,20291.018
Yambina,15525.507,12768.849
Yanda,38151.379,34728.212
Yandruwandha,25830.802,25782.309
Yanyuwa,3371.02,1879.11
Yardliyawarra,109132.837,74483.395
Yarluyandi,3025.55,2055.535
Yawarrawarrka,16341.627,16318.156
Yaygirr,1976.882,899.219
Yidiny,16046.592,17294.496
Yindjibarndi,41534.864,43532.986
Yindjilandji,22005.417,19682.798
Yingkarta,38526.209,31886.896
Yinhawangka,120534.729,129531.249
Yiningay,12990.748,10374.702
Yinwum,12240.655,10506.168
YirYoront,1651.907,1061.324
Yirandali,32240.967,26858.332
YithaYitha,10022.484,7827.914
YortaYorta,4290.94,2470.433
Yuwaalaraay,17943.879,15084.407
Zorc,3470.971,3209.769
