lang,rate_15150000,rate_15900000,rate_15990000,rate_16020000,rate_16480000,rate_16610000,rate_17580000,rate_18550000,rate_19800000,rate_20160000,rate_21060000,rate_21250000,rate_21350000,rate_22260000,rate_24310000,rate_24440000,rate_24500000,rate_24870000,rate_26210000,rate_27470000,rate_27510000,rate_28950000,rate_31920000,rate_33880000,rate_34060000,rate_34240000,rate_35880000,rate_37350000,rate_37730000,rate_38090000,rate_38430000,rate_38450000,rate_38680000,rate_39490000,rate_39530000,rate_39730000,rate_40510000,rate_42530000,rate_43170000,rate_43300000,rate_43580000,rate_44090000,rate_48090000,rate_49810000,rate_51180000,rate_54530000,rate_54940000,rate_55010000,rate_56710000,rate_58570000,rate_58890000,rate_58940000,rate_59060000,rate_61790000,rate_62350000,rate_63150000,rate_63550000,rate_63940000,rate_66220000,rate_66730000,rate_67310000,rate_67600000,rate_67720000,rate_68470000,rate_69020000,rate_69330000,rate_69440000,rate_69670000,rate_71100000,rate_71360000,rate_71630000,rate_71880000,rate_73160000,rate_73770000,rate_73960000,rate_75490000,rate_78400000,rate_80330000,rate_80850000,rate_81690000,rate_81800000,rate_82810000,rate_84240000,rate_84940000,rate_86390000,rate_86450000,rate_88250000,rate_88480000,rate_88600000,rate_88810000,rate_89520000,rate_91130000,rate_91990000,rate_92880000,rate_93090000,rate_96010000,rate_97240000,rate_97730000,rate_99660000,rate_99790000
Nepali,0.575976,0.987891,1.060985,0.893013,0.532011,0.546756,0.636841,0.753644,0.548085,0.479506,0.568261,0.720031,0.882017,0.631585,0.538364,0.732853,0.718203,1.042904,0.609941,0.689791,0.697355,0.839943,1.035893,0.729053,0.724249,0.713948,0.570835,0.695800,0.547551,0.469260,1.061615,1.060843,0.991204,0.849564,0.844592,0.473652,0.797804,1.069433,0.742460,0.623785,1.031963,0.599985,0.902942,0.526239,0.643902,0.704356,0.549319,0.559117,0.541853,0.641240,0.620738,0.400481,0.508468,0.624131,0.586506,0.919712,0.560406,0.803662,0.617689,0.737140,0.822114,0.725509,0.533443,0.885069,0.580652,0.747941,0.764278,0.867439,0.399527,0.628006,0.823283,0.573483,0.825083,0.715768,0.722556,0.745183,0.619120,0.619996,0.519899,0.866316,1.308748,0.964219,0.722702,0.586190,0.741546,0.589298,1.000084,0.676291,0.986882,1.018122,0.611279,0.991070,0.671339,1.000205,0.848353,0.601203,0.716719,0.660729,0.441762,0.448224
Punjabi,0.903489,1.661422,1.742956,1.824147,1.013234,1.540325,1.088856,1.238644,1.665467,1.811505,0.872595,1.386127,1.732866,1.190429,1.611160,2.061143,2.317136,1.534989,1.099534,1.680755,1.530311,1.700095,1.989013,1.103107,0.982418,1.389075,1.872731,2.061076,0.877802,1.489071,2.057486,2.087738,1.411234,1.190073,1.173514,1.106143,1.487667,1.222900,1.529381,1.556429,1.519292,1.071630,1.549383,1.232796,1.233479,1.391250,1.688436,1.328202,1.485784,1.736119,1.861218,1.289512,1.127491,1.052773,1.495982,1.627623,1.478313,1.892304,1.864163,1.435311,2.815212,0.836794,1.272788,1.338187,1.276005,2.198785,1.954566,1.671302,2.720992,1.904756,1.672185,1.097340,1.001060,0.958855,1.891998,1.567088,0.721751,1.900585,1.580120,2.625420,1.614347,1.515756,1.858997,0.948133,2.045223,0.817860,2.036557,1.870965,1.616258,2.152469,2.061770,1.850592,1.897015,1.119754,2.078196,1.753611,1.544247,2.139325,2.111772,1.433067
Marathi,1.595690,1.558527,1.519000,1.560524,1.207432,1.172325,1.343912,1.336106,1.824919,1.909324,1.634012,1.676710,1.602250,1.511032,1.645142,1.640047,1.673630,1.340204,1.669191,0.965243,0.967186,2.175160,1.607616,1.984746,2.305388,1.759222,1.264208,1.297237,1.508597,1.439594,2.141274,2.111619,2.243292,1.558403,1.581520,1.547490,1.576973,1.164322,1.745545,1.698308,1.690574,1.466890,1.882340,2.008608,1.057410,1.974705,1.953035,1.467122,1.190025,1.089798,1.243004,1.241626,1.270680,1.570633,1.442609,1.943632,1.815082,1.747851,1.676133,2.393645,1.333192,1.983947,1.322541,2.064483,1.718265,1.555978,1.573981,1.932296,1.665825,2.030391,0.798618,0.875248,1.456818,1.442082,1.549418,1.725857,1.567213,2.876374,1.191984,2.241955,2.252813,1.670150,1.934999,1.482790,1.271477,1.264495,1.352272,1.173437,1.167266,1.161689,0.875881,1.039512,1.682499,1.152392,1.182831,1.995928,1.170090,2.091525,1.562386,1.544314
Kashmiri,0.886811,0.795513,1.118193,1.121912,0.839328,0.833525,0.839565,0.902838,0.810630,0.805370,0.930159,0.902203,0.906030,0.889310,0.678722,0.697802,1.051081,1.147727,0.661102,0.604355,0.609436,0.689902,1.081859,0.705175,0.814818,1.077951,0.761550,0.916047,0.823244,0.844502,0.912285,0.911654,0.927629,0.741443,0.757324,0.757183,0.761181,0.734643,0.933459,0.907082,0.662446,0.764352,0.959991,0.836724,0.747805,0.938238,0.732271,0.978412,0.604268,0.713090,0.685362,0.683436,0.810536,0.815368,0.835511,0.749583,0.582026,0.975857,0.726871,0.715573,0.852933,0.853216,0.947117,1.064024,0.800374,0.783614,0.769017,0.879172,1.054926,0.727378,0.755305,0.752567,0.780943,0.851113,0.783070,0.970670,0.711958,0.717663,0.712846,0.732560,0.980221,0.835655,0.929339,1.003303,0.839999,0.825015,0.776508,0.786581,0.798839,1.071895,0.627163,0.996371,0.984719,0.810628,0.867440,0.802240,0.734272,0.918100,0.642833,0.818197
Palula,1.188895,1.075324,0.865122,0.831031,0.714281,0.987760,0.778106,0.711325,0.685738,1.151327,0.687203,0.909634,0.915882,0.918225,0.762895,1.191977,1.196118,0.964940,1.324901,1.951597,1.817876,1.847738,1.382177,1.343636,0.776329,0.815091,0.692136,0.885399,1.428202,0.756163,1.103473,0.953590,0.703678,1.676260,1.828431,1.923811,0.864188,1.070597,1.123338,0.714461,1.017642,0.790474,1.395261,0.456773,0.838649,0.823210,1.093232,1.084561,1.292305,0.998601,1.789484,1.799792,0.942129,1.135031,1.506562,0.816589,0.592312,0.558727,1.463274,0.903218,1.156515,1.488217,1.449514,0.803544,0.626188,1.135643,1.147271,0.697907,0.663384,0.597219,0.531764,0.620481,0.742819,0.864482,0.606719,1.082140,0.658607,1.262173,0.934930,0.918785,0.909885,1.089909,1.465200,0.924405,0.957593,1.249375,0.799510,1.010594,1.244290,0.934436,0.891832,0.966668,0.985654,0.904347,0.846504,1.003485,1.229932,1.601937,0.545704,0.725030
Gawri,0.877869,1.206851,0.859918,1.268719,0.991103,0.859797,0.684153,0.774580,0.849118,1.232110,0.895380,0.871029,1.179839,1.140693,1.006835,1.275886,1.280318,0.830593,1.196862,1.124690,1.788639,3.058089,1.746760,1.579968,0.841904,1.437145,0.882003,1.097703,1.849527,1.178295,1.213309,1.194199,1.080163,1.658050,1.687000,1.985263,1.176642,1.247517,1.036435,0.993912,0.954355,1.419559,1.179234,0.590961,0.778767,0.881435,1.128957,1.120003,1.302738,1.089000,1.622518,1.228075,1.206071,0.898274,2.039054,0.818769,0.564046,0.643192,1.213762,0.856284,1.385311,1.248998,1.314820,1.206409,0.909467,1.021109,1.031564,0.994864,0.954399,0.952381,0.597390,0.775402,1.482066,1.132664,0.876315,1.386132,0.777792,1.706703,1.067913,0.803942,0.796155,1.029275,1.694054,0.755934,1.605139,1.675208,0.938628,1.411303,2.228933,1.127705,0.948355,1.028534,0.933485,0.959215,0.799033,1.321783,1.365834,1.245072,0.820839,0.812134
Gawarbati,0.860501,1.573668,0.863706,0.867314,0.669607,1.066050,0.929516,0.567230,0.759769,0.796252,1.022323,0.751351,0.759845,0.888933,1.018661,0.970852,0.956633,1.376952,1.245463,0.960856,0.711850,1.644194,1.015684,1.026892,0.975166,1.113686,0.712301,0.898014,1.362904,0.936828,1.340977,1.338355,1.379466,1.204423,1.206585,1.945881,0.616897,1.105692,1.331686,1.319341,0.931986,1.321156,0.920383,0.572045,0.964508,0.975169,0.951320,0.959140,0.770976,1.008892,0.913381,0.914522,0.913231,1.095080,1.000555,0.849294,0.648599,0.676732,1.831296,1.040588,1.111616,1.093951,0.812781,1.191192,0.689315,0.982206,1.241706,0.782533,0.807859,0.744917,0.725313,0.710054,1.438285,0.955108,0.741147,0.895265,0.774514,1.248641,1.060710,0.927692,1.376003,0.683811,1.279759,0.817277,1.386210,1.148772,0.698562,0.709185,1.222075,0.854123,0.817751,0.889394,1.243928,0.609135,0.616655,0.896989,1.160630,0.828529,0.864416,0.867983
Khowar,1.73481,2.69670,1.68007,1.67795,1.36253,1.77646,1.59412,2.07721,1.77613,1.54273,2.44748,2.47170,1.85603,1.79330,1.69428,1.65956,1.65415,1.43862,1.34552,1.70820,1.69751,2.29677,2.38808,1.40433,1.85658,1.69703,1.67207,2.35386,2.08739,2.37677,2.39082,2.43597,1.87042,1.95139,1.95380,2.47320,2.86622,2.48450,1.75504,1.96753,1.88707,2.65606,2.31413,1.92566,1.93264,1.98600,2.02254,1.97980,1.50473,1.56369,1.83688,1.81586,1.83856,1.43659,1.85682,1.66617,1.59175,1.36198,1.93438,2.08734,1.93791,2.09501,2.07940,1.75640,1.90445,1.93502,1.91868,1.48550,1.54090,1.62074,1.64119,1.63662,1.94440,1.91210,2.26756,2.31501,1.54614,2.53930,1.33937,2.22831,2.23376,1.84241,2.07998,2.05345,2.41261,2.13851,2.04350,2.16748,1.71020,1.80206,1.83034,2.06195,2.06581,2.05481,1.75986,2.10677,2.33145,1.96006,1.89014,1.68104
PashaiNorthWest,1.741855,1.400482,1.415810,1.431976,1.461039,1.946008,1.581741,1.646227,1.633315,0.850785,1.570942,1.586483,1.587036,1.405636,1.187139,1.011348,1.338370,1.199824,1.292252,1.382032,1.361387,1.430128,1.885026,1.243821,1.265546,1.610169,0.866488,1.826143,2.067332,1.676433,1.739667,1.772521,1.797531,1.403367,1.421690,1.404375,1.785030,1.526944,1.534020,1.571842,1.105005,1.943690,1.942336,1.232566,1.624330,1.611289,1.379227,1.385437,1.124079,1.544122,1.537705,1.522566,1.558497,1.307685,1.843037,1.113179,1.791680,1.274511,1.215139,1.725000,1.285920,1.697507,1.203878,1.788083,0.994549,1.408640,1.403567,1.310312,1.173879,1.178988,1.156294,1.111250,1.456227,1.760889,1.368837,1.593235,1.370819,1.764619,1.088768,1.513984,2.037703,1.854849,1.469829,1.222799,1.715277,1.749675,1.634497,1.712833,1.018011,1.459052,1.719307,1.665938,1.812190,1.683395,1.446471,1.301800,1.666817,1.840096,1.612876,1.274145
Kamviri,0.684567,1.125686,1.055562,1.729804,0.831306,0.523750,2.640058,0.763513,0.726685,1.431878,1.273646,0.727435,0.637850,0.556131,0.676706,0.865228,0.373937,0.513034,1.270611,0.360852,0.586148,1.471963,1.207098,0.570512,0.460632,0.267913,1.776556,0.438225,0.707674,0.666923,0.958581,0.432202,0.818419,0.802148,0.908845,1.241326,0.516235,0.809468,1.287363,1.566291,0.736132,0.292079,0.316348,0.331733,0.870625,0.573682,1.820475,0.630314,1.195479,1.496285,1.094408,0.730870,0.371110,0.525462,0.547510,0.650281,0.585174,0.819544,1.058028,0.626689,1.301305,0.975079,0.972096,1.041574,1.347673,0.697173,0.437870,0.360066,0.593018,0.741847,0.920096,0.817803,0.594034,0.814252,1.511198,0.584609,0.506800,0.623635,1.889830,1.098807,0.480592,0.887589,0.780051,1.005928,0.978427,0.490419,0.454275,1.581830,0.693660,0.813893,0.415520,0.671668,2.167823,1.200520,0.653280,1.179572,1.064587,0.973270,0.666434,0.887337
