lang,rate_15150000,rate_15900000,rate_15990000,rate_16020000,rate_16480000,rate_16610000,rate_17580000,rate_18550000,rate_19800000,rate_20160000,rate_21060000,rate_21250000,rate_21350000,rate_22260000,rate_24310000,rate_24440000,rate_24500000,rate_24870000,rate_26210000,rate_27470000,rate_27510000,rate_28950000,rate_31920000,rate_33880000,rate_34060000,rate_34240000,rate_35880000,rate_37350000,rate_37730000,rate_38090000,rate_38430000,rate_38450000,rate_38680000,rate_39490000,rate_39530000,rate_39730000,rate_40510000,rate_42530000,rate_43170000,rate_43300000,rate_43580000,rate_44090000,rate_48090000,rate_49810000,rate_51180000,rate_54530000,rate_54940000,rate_55010000,rate_56710000,rate_58570000,rate_58890000,rate_58940000,rate_59060000,rate_61790000,rate_62350000,rate_63150000,rate_63550000,rate_63940000,rate_66220000,rate_66730000,rate_67310000,rate_67600000,rate_67720000,rate_68470000,rate_69020000,rate_69330000,rate_69440000,rate_69670000,rate_71100000,rate_71360000,rate_71630000,rate_71880000,rate_73160000,rate_73770000,rate_73960000,rate_75490000,rate_78400000,rate_80330000,rate_80850000,rate_81690000,rate_81800000,rate_82810000,rate_84240000,rate_84940000,rate_86390000,rate_86450000,rate_88250000,rate_88480000,rate_88600000,rate_88810000,rate_89520000,rate_91130000,rate_91990000,rate_92880000,rate_93090000,rate_96010000,rate_97240000,rate_97730000,rate_99660000,rate_99790000
KatavariEastern,1.588684,1.862344,0.692808,1.239084,0.692065,0.741636,0.608957,1.588009,0.745603,0.946345,1.458023,1.051158,1.364677,0.766188,1.727631,0.938638,1.482383,1.990385,0.540489,1.529267,0.605478,0.822913,0.938477,0.762734,0.886496,1.447571,1.309975,0.746034,0.386542,0.402352,0.855169,1.362535,0.573899,0.582710,0.709318,2.011694,1.058496,0.737674,1.385060,1.893697,0.687637,1.236698,1.133326,0.777006,1.315547,1.014207,1.836255,1.129159,0.888049,1.005070,0.262680,0.910010,1.996211,0.987851,0.714537,1.960345,2.144340,0.967876,0.972780,1.530704,0.804617,2.387254,0.687397,1.315097,1.150698,1.066931,0.427280,1.367003,0.326743,0.577468,0.803574,0.827407,0.687380,1.664246,1.167484,0.527577,2.270723,2.129363,0.359422,1.796609,0.866615,1.557330,1.455649,0.626874,1.974780,0.630901,5.276696,0.773794,0.641673,0.904672,1.014660,2.016528,2.275655,1.049253,0.693655,1.017858,1.540133,1.897261,0.565983,2.426983
KatavariKtivi,1.968861,1.256641,0.590132,0.844979,0.875897,0.380435,1.133657,0.696004,0.954893,0.762412,0.985921,0.369681,0.770622,0.395548,0.912405,1.317440,0.594268,0.977433,0.310130,0.625034,0.260526,0.669520,0.430462,0.354240,0.632274,0.825039,0.891699,0.530480,0.406732,0.809468,0.731600,0.878111,0.368305,0.718315,0.533436,1.787476,0.697225,0.589153,0.300363,0.773177,0.921824,0.507385,0.962576,0.550604,1.245179,0.486651,1.480166,0.440952,0.915164,1.169427,0.648378,0.305834,0.813883,0.687511,0.908213,1.338959,0.651635,0.792313,0.892459,0.536119,0.634269,0.878732,0.700506,0.638395,1.469826,1.103586,0.431575,0.272736,1.351464,1.910296,0.582251,0.729448,1.016520,1.156449,0.566351,0.484249,0.917135,1.600966,0.498091,1.081657,0.471364,0.940304,0.693947,1.106216,0.526817,0.414965,0.891069,0.401592,0.617528,1.006761,0.475406,0.815115,1.265734,0.853407,0.189586,0.698294,0.417652,0.995302,0.744498,1.341045
KalasalaNiseigram,1.212909,1.107510,1.401733,1.403075,1.041999,1.487332,2.257973,0.642647,0.764753,1.344612,1.147206,0.760890,0.671277,0.734787,2.138850,1.225870,1.267125,1.057754,2.325368,0.565067,0.588628,1.317624,1.290818,1.109065,1.185447,1.416480,0.935379,1.566140,1.083079,1.168839,2.033365,2.003861,1.365473,1.319402,2.409967,0.960994,1.359255,1.372416,1.208855,0.806756,0.994862,1.422375,1.629030,0.906710,0.867041,0.680875,1.295932,1.319152,0.886471,0.818817,1.105980,0.840408,1.018657,1.452037,1.088950,0.600822,1.167686,1.465637,1.143046,1.091950,1.903315,0.962885,1.470765,1.140856,1.336194,2.168354,1.900396,0.779131,0.712046,0.775420,0.915390,0.666679,1.204716,1.445625,1.296909,0.927936,0.782872,1.747804,1.017442,2.369034,2.025598,1.101526,1.402449,1.535122,1.221115,0.792318,1.155054,1.103945,1.421300,1.567904,1.055868,1.016863,1.184033,1.012413,1.034496,0.571649,1.398685,1.918499,1.769806,1.066605
SanuviriWama,1.153393,1.247536,1.643501,1.680799,1.069247,1.129045,1.430935,1.173691,0.641144,0.821435,1.401546,1.007137,1.047055,1.163505,1.220698,1.017003,0.485777,1.284313,1.679797,1.031765,1.027327,1.453844,1.001803,0.579133,0.771709,0.763901,1.095975,0.990061,1.029837,0.943055,1.348302,1.348535,0.900193,1.524277,1.488893,1.349743,0.881282,0.907729,1.259925,1.430507,1.898876,1.077985,0.982947,0.593608,1.093849,0.516786,0.583040,0.878188,0.861141,1.139248,0.698354,0.735800,0.598298,1.549729,1.569099,1.252386,0.834878,1.209991,1.511543,1.690734,1.270168,1.278030,1.082792,0.949667,1.199590,1.209577,1.493634,1.130697,1.310173,1.215411,1.094288,0.786582,1.095145,0.898606,0.757671,1.043762,0.831378,0.913533,0.947480,1.347294,1.345754,1.072835,0.634762,1.359892,1.210716,0.665440,0.979973,0.677151,0.908765,1.366390,1.220980,1.376690,1.905996,2.161852,0.953027,0.692751,1.590139,1.534286,1.367238,0.786373
VasiVariPaski,4.52430,2.68523,2.77481,2.78426,2.84952,2.73380,2.88594,2.67587,2.53658,3.05335,2.10459,2.08018,2.62673,4.00365,4.02457,2.02734,2.14196,2.51919,3.92098,3.19742,3.14061,2.82850,3.13601,2.97945,2.25151,2.36800,2.25390,3.55131,6.07710,6.26268,3.12283,3.13265,3.19417,2.84867,2.78185,2.42395,2.29433,2.28824,3.42510,3.38502,3.77322,2.61418,2.51743,2.23331,2.15363,2.24651,3.10883,3.13653,2.23146,1.70305,2.15505,2.18859,3.05992,3.54879,2.64968,1.65728,2.50709,4.14617,2.50780,2.42436,2.81732,2.79062,2.86891,1.95021,5.09777,2.50507,3.71955,2.73131,2.37302,3.12821,1.94910,2.31235,2.05203,3.08025,2.86522,2.33665,2.28329,3.18744,2.58432,4.30538,3.25575,3.05998,2.70195,2.18990,3.94090,3.82210,3.40500,3.02526,1.78878,1.44062,2.69028,2.81068,2.86645,3.13998,3.09015,2.19072,2.83742,2.28939,2.52429,3.34790
AvestanYounger,0.332013,0.506385,0.536321,0.321368,0.530277,0.861890,1.063773,0.384774,0.456619,0.451086,0.883100,0.275248,0.512332,0.428162,0.473179,0.481892,0.486151,0.224380,0.690956,2.305358,0.849872,0.319833,0.494380,0.483627,0.332068,0.477153,0.737128,1.301995,0.548264,0.361720,0.773265,0.784889,0.723920,0.469010,0.768370,0.396574,0.643149,0.145953,1.440783,1.309004,0.883553,0.531220,0.612165,0.983540,0.388806,0.414435,0.654186,0.722937,1.266686,0.445117,0.614671,0.603190,0.552236,0.993778,0.494945,0.965566,0.268085,0.461286,0.411082,0.894107,0.401230,0.367317,0.851566,0.576257,0.315264,0.902344,0.883229,0.453341,0.400479,0.610277,0.580343,0.745675,0.431727,2.183070,0.257660,0.487610,0.267958,0.769437,1.092476,0.575959,0.330110,0.301953,0.466758,0.740343,0.608948,0.589373,0.283756,0.967840,0.411831,0.741318,0.704411,0.610009,0.392651,0.842013,0.419259,0.865186,0.561814,0.410983,0.892301,0.291292
Khwarazmian,1.006069,1.108961,1.035062,1.042935,0.814753,1.136271,1.389930,1.548562,0.868174,1.205891,1.033764,1.023861,1.539802,0.815306,1.021079,0.991456,0.958610,0.940732,1.951306,0.883518,0.896721,1.611667,1.107366,1.062443,0.706471,0.625926,0.634819,1.715535,0.811918,1.148381,0.850803,0.849723,0.791405,0.742869,0.723206,1.160931,0.777732,1.240620,1.146763,1.133936,1.059974,1.523484,1.280112,1.608527,0.842371,0.863268,0.997021,0.983239,1.143910,0.796054,0.921397,0.931807,0.957323,0.861511,1.145471,1.264534,0.795035,0.978778,1.020518,0.930730,0.855453,1.334905,0.928740,1.084844,1.310320,0.958636,0.930520,1.370495,0.765215,1.097904,0.991642,0.994812,0.907891,1.378079,1.041821,0.868124,0.910919,1.147885,1.206808,1.079824,0.889123,1.287608,1.471499,1.230168,0.872957,0.852644,0.965283,0.993632,0.808862,1.487038,1.334360,1.486485,1.094149,0.854541,1.136076,0.807157,1.152583,0.917233,1.029648,0.973855
Sogdian,0.966381,0.903769,0.391270,0.661393,0.470374,0.786433,1.176376,1.176340,0.632814,2.065469,1.910856,1.004687,0.932093,0.515581,1.401860,2.665057,0.935448,1.071866,1.791310,1.002969,1.094018,1.273025,0.862583,0.767918,0.538740,0.423528,1.233945,2.564115,1.098072,0.467883,0.552086,0.548797,0.941525,0.887080,0.778381,0.803852,1.087681,1.211653,0.879597,0.962744,1.800460,1.478244,1.200823,1.555188,0.976726,2.181425,0.871573,2.173933,1.287410,1.185695,2.219685,1.662897,0.563862,0.897624,0.523666,1.456273,0.641350,0.776190,0.983975,1.026256,1.504408,0.912301,1.200582,0.622210,2.069514,0.907530,1.944966,2.065975,0.532017,0.950691,0.599693,1.115454,0.567720,0.758305,1.497521,0.816412,1.081291,1.799673,1.001250,1.298866,1.120085,1.058414,1.014765,1.610492,0.734028,0.630854,1.210214,1.107303,0.736991,1.678418,1.491471,1.221231,0.902384,1.198669,0.802280,0.522679,2.572418,0.538359,0.628423,1.962631
Khotanese,0.845832,1.375410,1.373639,0.789675,1.667772,1.044432,1.737027,0.903097,1.082819,1.103482,1.376926,1.440080,1.441020,1.532563,1.437190,0.871654,0.853121,1.140169,2.803094,1.139680,1.156999,1.711131,1.126853,0.776234,0.956680,0.929726,1.013123,1.689678,0.755051,1.134914,1.091594,1.086425,1.063661,0.997858,0.991056,1.028035,1.172524,1.446781,1.001637,1.036408,1.438747,1.299387,2.083690,1.683932,1.958594,2.285055,1.146982,1.175023,0.848582,1.174315,1.032169,1.034068,0.998203,1.291031,0.948680,1.753038,0.677792,1.257912,1.660444,0.908059,1.053058,1.113386,0.964759,1.060826,1.017015,1.320724,1.381858,1.326415,1.412570,1.686759,1.099713,1.064312,0.930263,1.121473,0.858846,1.434452,1.176329,1.044570,0.815092,1.132533,1.430587,1.718155,1.038583,1.389282,0.907998,0.901667,1.080532,1.184871,0.795300,1.420351,1.075887,2.027590,1.256028,1.350246,1.300891,1.149094,1.384381,0.802437,1.725598,2.928061
Pashto,0.932718,1.450760,1.317046,1.327126,1.383307,1.390646,0.947322,1.012619,1.235263,1.081019,0.921893,0.980317,1.242659,1.423420,1.458009,1.921824,1.268296,1.283044,1.372881,0.965434,0.959650,1.391871,1.611304,0.888119,1.486530,1.524612,1.627700,1.193384,1.111400,1.106874,1.312598,1.317595,1.211699,2.150888,2.096309,2.052296,1.386824,1.122050,1.171647,1.566729,1.098717,1.065490,1.060487,1.558439,1.119625,1.297817,1.529807,1.522547,1.049297,1.142394,1.373957,1.380093,1.097640,1.519554,1.134284,0.974180,0.910873,1.639461,1.231487,1.210178,1.203739,0.870433,1.149046,0.970906,0.868411,1.030160,1.021719,1.441767,1.234985,1.259829,1.279760,0.967435,1.268719,0.980014,1.114122,1.411432,1.175574,1.341995,1.370824,0.932725,1.109043,1.742989,1.351186,1.417382,1.053058,1.064125,1.451660,1.811168,1.203510,1.200407,1.143940,1.176121,1.472932,1.048594,1.325671,1.483891,1.095316,1.193516,1.480158,1.751306
Wakhi,1.014594,1.931444,1.900006,2.572802,1.488040,1.119819,1.165082,0.908716,1.512466,1.234740,2.034455,2.113218,1.252549,1.344855,1.872134,3.027392,2.943680,3.074843,1.793499,1.026738,1.248288,1.331010,1.525402,1.351112,1.781405,1.200396,1.339643,1.159841,1.273017,1.118365,1.009788,1.014949,1.024524,2.056638,2.765630,1.969713,1.539446,1.718905,2.848158,1.873212,1.534519,1.356418,0.986934,1.223203,2.235559,1.517168,1.648597,1.085757,1.326110,1.270316,2.076411,1.318944,1.747287,1.945382,1.136369,1.511350,0.693891,1.987093,1.763199,1.767108,1.026490,0.913225,1.233481,0.933616,0.740144,1.356083,1.858697,0.895765,1.364405,1.090639,0.923746,1.540886,1.235462,1.059225,1.047273,1.196355,1.611642,1.904165,1.172873,1.079052,1.077547,1.862785,1.561819,1.520577,1.339044,1.330538,1.675910,1.747409,2.273276,1.209337,0.805858,2.247732,1.498620,0.891414,1.143471,1.799111,1.700503,1.691901,2.036905,1.863537
Sarikoli,1.114582,1.540128,2.534519,2.480777,1.485844,1.284597,1.333064,0.949009,1.980929,1.443949,1.828388,1.947674,1.617982,1.335228,1.706984,1.748764,3.349540,2.957223,2.244065,1.759555,1.735991,1.733347,2.148578,1.417848,2.360720,1.734380,1.513744,1.033872,1.584840,1.193603,1.218417,1.224645,0.997498,3.047181,2.648162,2.042344,1.516702,2.145684,1.871049,2.262765,1.879337,1.810259,1.494362,1.151637,2.920357,1.348038,1.376425,1.383147,1.421374,1.441146,2.931284,1.970291,1.892111,2.075000,1.338261,1.924001,0.879449,2.020469,1.793000,1.843425,1.030048,1.218575,1.220108,0.988620,1.041449,1.389301,2.238593,1.280209,1.189841,1.144778,1.544599,2.555534,1.228036,1.188887,0.999738,1.229236,1.741016,1.765793,1.469190,1.176152,1.174512,2.325115,1.207893,1.225587,1.407419,1.398479,1.993720,2.444612,1.865281,1.536421,1.136408,2.101248,1.724901,0.874746,1.246366,2.259766,1.828080,1.667562,2.430291,2.223441
Yaghnobi,1.094685,0.780840,0.903758,0.895000,0.855903,1.173923,1.116266,1.029170,0.976528,0.950288,1.268692,1.047535,1.027608,1.241054,1.404844,1.420284,1.414726,0.914394,1.283281,0.950298,0.952654,1.148976,1.070446,0.672116,0.916090,0.873499,1.171886,1.048330,1.214109,0.701726,0.900174,1.121664,1.003617,0.905414,1.014031,1.043053,0.747829,1.359531,0.909348,1.018800,1.288160,1.255566,1.120774,1.005641,1.313436,1.579076,1.500324,1.484464,1.002536,1.429198,1.111175,1.145029,1.122305,1.104048,0.784328,0.922752,0.957122,1.241322,0.948593,1.156356,1.196862,1.332514,1.057498,0.797772,1.039271,1.037945,1.049165,1.329929,1.027633,1.129240,0.966021,1.434510,0.882991,0.908583,1.676393,0.973035,1.118720,1.239512,0.999262,1.145397,1.141068,1.176090,0.881346,1.205265,0.810008,1.075755,1.167919,1.410207,0.973709,1.219293,1.274798,0.970729,1.118770,0.769787,0.951959,1.052072,1.076796,0.845485,1.305094,1.304971
Bactrian,0.478368,0.176854,0.434625,0.435133,0.748975,0.973475,0.912795,0.426613,0.481001,0.791393,0.299400,0.631167,0.573939,0.716879,0.615012,0.912252,0.454290,0.393129,1.166233,2.049392,0.785549,0.474524,0.575641,0.479132,0.386541,0.608490,0.498329,0.871815,0.246571,0.255523,0.389740,0.399927,0.397393,0.419684,0.417829,0.388081,0.386933,0.493092,0.307072,0.293096,0.380297,0.717504,0.406751,0.837375,1.145223,0.599725,0.492228,0.486089,0.635491,0.527211,0.354603,0.370478,0.436961,0.675903,0.399256,0.647503,0.282426,0.496187,0.579000,0.337707,0.515743,0.558560,0.760470,0.514129,0.590642,0.930854,0.468404,0.322577,0.521834,0.472252,0.351737,0.705862,0.428380,0.235489,0.513412,0.548920,0.446990,0.399943,0.270156,1.240092,1.599697,1.045518,0.701531,0.416820,0.432702,0.434851,0.489712,0.399484,1.218231,2.230852,0.429100,0.900015,0.730776,0.312646,0.431279,0.447377,0.907111,0.399674,0.714623,0.659426
Parthian,0.704362,0.689591,0.835183,1.689648,0.538544,0.837986,0.798752,0.684215,1.300076,0.692115,1.242477,1.958308,1.059823,1.024362,0.934850,0.950394,0.919909,1.031002,2.210713,0.830326,0.820058,0.505170,2.510735,0.852169,0.581314,0.487113,0.809958,1.001757,1.573906,0.807665,0.792730,1.068635,0.495047,0.989343,1.083913,1.056587,1.555428,1.180239,0.372566,1.019371,0.596247,0.792123,1.350686,1.027543,0.777198,1.092962,1.576104,3.189071,1.582756,0.803028,0.354397,1.138119,2.115545,0.858067,1.537671,1.925044,0.874320,0.750770,1.233695,0.784765,1.906168,1.673604,1.609620,0.609925,1.224450,0.743822,0.901979,0.962530,0.894486,1.003909,2.651950,0.969036,0.701370,1.512590,0.936038,0.627666,1.111532,3.450775,1.050719,1.282815,0.882849,0.808355,0.680987,1.655973,1.135801,1.480973,0.655508,1.669178,0.922752,0.715755,1.245908,1.467836,1.009660,1.244072,0.683661,0.515589,0.635170,1.332991,0.408810,0.986568
KurdishNBahdini,1.144408,1.343420,1.874883,1.877961,2.208338,2.230086,1.800350,1.028025,1.524980,1.637966,1.312857,1.340570,1.308752,1.828498,1.321386,1.285173,1.274132,1.185868,1.848235,1.561869,1.564555,1.105175,1.003684,1.423957,1.420190,1.287992,1.144404,0.687677,1.900880,1.794490,1.363307,1.658571,1.777763,1.950513,1.990549,1.849494,0.910767,1.632009,2.350810,2.227457,2.147048,1.427612,2.102465,1.747708,1.949118,1.721619,1.162537,1.205002,1.081132,1.651746,1.664234,1.621093,1.658623,1.471803,1.807121,1.255516,1.449484,1.615490,1.639467,1.205566,1.306808,1.840970,1.768251,1.396611,0.982918,1.103722,1.479302,1.746734,1.309825,1.492150,1.833665,1.852314,1.669304,1.827765,1.960911,2.044663,1.346692,1.368984,1.145936,1.971609,1.961654,1.882216,1.814727,2.216905,2.409746,2.388930,1.835232,1.516562,1.514818,1.614337,1.775463,1.461687,1.595450,1.864727,1.856154,1.181015,1.375974,0.962053,1.653686,1.625891
KurdishCJafi,0.358657,0.498747,0.427571,0.505888,1.005050,1.413255,0.588969,0.565147,0.856938,0.908279,0.992419,1.242019,0.826368,1.114901,0.869198,0.604722,0.502641,0.945441,0.909837,0.693051,0.456880,1.133527,0.691896,0.793758,0.497038,0.554480,0.855193,0.395201,0.529891,0.666562,0.634156,0.875794,1.104511,0.920928,0.529998,0.630692,1.007758,0.875534,0.763611,2.102129,1.108739,1.344383,1.037657,1.436188,0.592149,0.838260,0.570864,0.901875,0.533258,0.759820,0.880999,0.466605,0.921080,0.779768,1.098047,0.332361,0.777449,0.518303,1.016960,0.715208,0.859472,1.206807,1.194481,0.776656,1.108460,0.578127,0.826103,0.799536,0.705571,0.387762,0.928259,0.734230,0.800992,0.900410,0.823086,0.617924,0.444953,0.887691,0.530924,0.621205,0.807432,0.852623,1.484691,0.916802,1.010690,0.923411,0.735704,1.450214,0.954975,1.111332,1.545831,0.656636,0.836512,0.516485,0.658114,0.812775,1.221639,0.450926,0.840292,0.914958
KurdishSElami,1.397817,1.090946,1.392747,1.704924,1.427417,1.379126,1.266644,1.691056,1.943250,1.358314,1.767963,1.978650,1.490185,1.876327,1.084979,0.801492,0.802695,1.390664,1.052216,1.179232,1.094026,1.156422,1.866394,1.473764,1.435506,0.757163,1.213241,0.796927,1.532778,1.577286,1.866534,1.875227,2.386798,1.427083,1.426750,1.620348,1.747807,1.581378,1.038170,1.322005,2.079840,0.732635,1.912685,2.232062,2.155701,1.123812,1.009766,1.006909,1.273279,1.198095,1.195251,1.233965,1.321457,2.208735,1.897918,1.525159,1.026084,1.518794,1.545265,0.992235,1.899943,2.542702,1.661364,1.064550,1.776486,1.111543,1.060067,1.195849,1.399538,0.580888,2.478000,1.185884,1.324388,2.437246,1.189219,1.584683,1.801205,0.915023,1.069295,1.669987,0.955827,0.803261,1.240837,1.568420,1.573593,1.639345,1.588206,0.985533,1.345437,2.829792,1.734383,1.373014,1.384565,0.876168,1.748228,1.243994,2.304040,1.407072,1.418296,0.929381
KurdishSQorveh,0.960142,0.904964,1.247824,1.221594,1.532935,1.700880,0.997971,1.512954,0.815892,1.363661,1.266323,1.690659,1.692501,1.430904,1.445495,0.815445,0.653407,0.865731,0.974039,1.173863,1.086400,0.796831,1.176019,1.059675,0.942709,0.830336,1.109744,0.627072,1.439183,1.243015,1.748596,1.756739,1.541325,1.518563,1.518208,1.038804,0.847006,1.563310,1.127886,1.734778,1.312127,1.537257,1.121075,2.426126,1.905306,0.726174,1.112719,1.056736,0.800682,1.070526,1.044392,1.036344,0.960375,1.632114,1.860175,0.750112,0.683556,0.925737,1.418198,1.054429,1.422167,1.827801,1.214515,0.857543,1.250704,0.422434,0.725827,0.938056,0.960059,0.744822,1.991699,0.695805,1.001568,1.390972,0.785479,1.096816,1.531814,0.962912,1.439681,1.169894,0.948356,0.993660,1.118720,1.118163,1.254329,1.221809,1.454297,0.931648,1.384239,1.645820,1.439930,1.535734,1.060118,0.629878,0.963538,1.647117,1.276352,0.792611,0.920867,0.935847
Hawrami,0.740482,1.146378,1.135294,1.096403,1.514768,2.552023,1.105903,1.059457,2.507229,1.365637,1.822011,1.707577,1.766821,1.558591,1.562659,0.777216,1.108555,2.057352,1.490417,0.960420,0.955601,2.609008,1.304975,1.229732,0.932939,1.432855,1.176830,1.059976,1.245802,0.927160,1.238638,1.214362,1.117821,1.197878,1.209134,1.356378,1.543380,0.963056,1.566743,2.892669,1.318767,1.680666,2.307370,1.180475,1.803615,0.835670,0.987540,0.957619,1.824709,1.201452,1.643640,1.600248,1.746702,1.841747,1.326442,0.921753,1.245755,1.092704,1.618385,1.446808,2.182678,2.297608,2.498374,1.319561,1.781465,1.358612,1.488770,1.479527,0.726458,0.923200,1.170855,1.564214,1.707264,1.804721,1.554260,1.390752,0.957683,1.032347,1.213883,1.189009,1.371882,1.467861,1.422375,1.742477,1.267886,1.306895,1.317874,1.875175,1.787167,2.558277,3.562018,0.917316,1.881447,0.882584,1.083726,1.107721,1.144790,0.830967,2.118973,1.133076
RajiBarzoki,0.387689,0.955082,0.692508,1.107201,0.782710,0.525852,1.039794,0.662399,0.589470,0.447834,0.739615,0.948885,0.926641,0.905561,0.706899,0.679177,0.668730,0.930912,0.763492,0.491692,0.391036,0.877921,0.633270,0.701778,0.542231,0.925399,0.932403,0.422748,0.792881,0.712414,0.612101,0.621040,0.684036,1.067585,0.750254,0.664107,1.093009,0.686651,0.988544,0.798238,0.701466,0.820660,1.095567,0.925106,0.782761,0.665604,0.740634,0.741635,0.403605,0.596630,0.691885,0.724063,0.817587,0.522196,1.206074,0.608831,0.677400,0.470572,0.562042,0.542419,0.442612,0.611468,0.595298,1.190008,0.770139,0.653974,0.682937,0.683938,0.542693,0.584484,0.766700,1.075038,0.949178,0.838028,0.741445,0.609340,0.509439,0.508607,0.445926,0.645994,0.785172,0.395511,0.931768,1.102410,0.882242,0.715954,0.469522,0.938293,0.860590,1.141620,0.585166,0.858444,0.966302,0.728384,1.044387,0.947744,0.873870,0.794431,0.659406,0.664513
Tati,0.473510,1.076449,0.586439,0.593486,0.772948,0.774279,1.354848,0.811919,0.636557,0.692920,0.673834,0.683492,0.836757,0.686361,0.528734,0.797200,0.622243,0.671911,0.788554,0.644146,0.634034,0.718861,0.472972,0.490091,0.495668,0.602530,0.769298,0.559306,0.636010,0.700568,0.549272,0.558872,0.431412,1.216714,1.229748,0.571651,1.116924,1.048013,0.755959,0.630850,0.571419,0.547485,0.871552,0.715600,0.884023,0.631781,0.615445,0.994779,0.411735,0.698422,0.725481,0.514065,0.813906,0.534986,0.631596,0.710441,0.871433,0.976812,0.681311,0.616869,0.612699,0.571889,0.506753,0.714388,0.764666,0.985939,1.001625,1.089481,0.415160,0.452513,0.534171,0.909098,0.686114,0.574065,0.713139,0.521120,0.900010,0.571186,0.678160,0.728849,1.201727,0.486932,0.881116,0.900511,0.969636,0.640861,0.495013,0.537102,0.648381,1.530281,0.671551,0.498516,0.955068,0.834816,0.585298,0.913328,0.788724,0.780097,0.619210,0.822410
Mazanderani,0.878484,2.172423,1.357570,1.357400,1.222406,0.994396,2.034165,1.096733,0.684305,1.957042,0.940575,0.998647,1.412939,0.997258,1.046859,1.059006,1.376312,1.372232,0.930488,0.910961,0.896661,0.915131,1.043859,0.969665,0.666672,0.861541,1.889689,0.725264,0.792142,0.950181,1.091633,1.110712,0.772064,2.034573,2.056368,0.783572,1.458988,1.247961,1.387519,1.084128,1.301461,0.789577,0.993443,1.149323,1.523137,0.908369,1.360149,1.357397,0.599875,1.079445,1.057139,1.376859,1.223803,0.814735,0.947780,0.990646,1.325524,1.673552,1.015532,0.937133,0.858434,1.043239,0.808794,1.392761,1.054856,1.895248,1.586458,2.304138,0.883815,0.893482,1.372387,1.093466,1.107590,0.889971,1.221261,0.728469,1.490880,1.133088,0.880795,1.215051,1.775251,0.671335,1.426797,1.473317,1.924272,1.038989,0.989203,1.540087,1.111275,1.998363,0.978043,1.704500,1.060786,1.087069,1.041162,2.119212,1.725440,1.073825,0.848373,0.805967
BalochiSistani,0.971102,2.528004,0.950322,0.953610,0.795015,0.875737,1.003064,1.129841,0.659279,0.685543,1.140039,1.115574,0.894214,1.244015,0.858297,1.061875,1.073526,0.787076,0.913512,0.588483,0.579744,1.394733,0.832943,1.649049,0.556978,0.549691,0.904626,0.639567,0.927482,1.091904,0.988233,1.001016,1.056848,0.790447,0.783915,0.590608,0.611376,1.257590,0.856674,0.860902,0.886090,1.072065,0.843378,0.896242,0.862605,0.654365,1.078020,1.106586,0.507953,0.876085,1.269716,1.235470,1.209682,0.858289,0.834806,1.095146,0.872062,0.770365,0.610305,0.807233,0.786025,0.752878,0.762599,0.801895,1.128226,0.705094,0.725558,0.680805,0.756312,0.976547,0.873143,0.944191,2.016418,1.230887,1.183648,0.922773,1.161482,0.999921,0.880002,0.946223,0.964481,0.726265,0.902097,0.948542,0.768775,1.059490,1.059397,1.023553,0.887853,1.181963,1.354157,0.782932,1.088428,1.131349,1.136167,0.807716,1.397477,0.976966,0.708532,0.975443
OsseticIron,1.169544,0.968910,0.725320,0.713198,0.535965,0.499841,0.579634,1.007661,1.568349,2.641354,0.765962,0.302178,0.770961,0.450285,0.884914,2.114551,1.588502,0.652990,1.099334,2.033929,1.257607,0.679469,1.020756,0.542525,0.578621,0.740088,1.291147,0.534550,0.286691,0.943304,0.695551,0.524637,1.163516,0.565425,0.548217,1.893739,0.446008,0.834299,1.285123,1.188885,0.439205,0.693052,0.784300,1.208076,2.069418,0.758895,0.619385,0.893438,0.743543,1.679078,2.045977,1.744345,1.378127,0.710786,0.890802,0.449169,0.650403,0.679470,1.028019,1.109717,0.788021,1.531430,2.888458,0.607406,2.447119,0.937003,1.414609,0.606945,0.614695,0.772282,1.028816,1.664762,1.011259,0.447481,0.774284,0.498169,0.749089,0.984375,0.909484,1.408648,0.634018,0.493847,0.981736,0.545679,1.434062,1.093043,1.611299,1.374243,0.524380,0.613436,0.903089,0.681114,0.995304,1.322775,1.095198,1.650988,1.113953,0.535336,0.567950,0.833161
OsseticDigor,0.860504,1.639374,0.431942,0.198021,0.849870,0.462266,3.128921,1.383020,0.702496,0.602728,0.808848,0.790718,0.579010,0.612519,1.096200,1.613697,2.524548,0.277560,0.346555,0.962968,0.668953,0.788561,0.812319,0.543658,0.987779,0.479707,0.688196,0.383224,0.979276,0.746118,0.512803,1.131448,0.810883,0.212220,0.205761,1.082552,0.328725,0.946831,0.380510,0.366298,0.442737,0.450045,1.065840,0.889350,1.043782,0.660676,0.627710,0.720636,0.756249,0.586453,0.878379,0.913470,0.691197,1.063175,1.470812,0.452309,0.720942,0.862730,0.648321,0.627643,0.613374,0.520375,1.292042,1.064547,3.206487,1.328663,0.594149,0.259934,0.929528,0.549766,1.897749,0.691192,0.544747,0.500957,0.512507,1.061719,0.469173,0.490146,0.671435,1.708976,0.871171,0.828980,0.800511,0.372427,0.614466,0.842206,1.284194,0.555931,0.933172,0.766039,1.035816,0.680002,0.748349,2.020117,1.266445,0.838069,1.243356,0.667189,0.369304,0.637272
