language_1,language_2,median_distance,mean_distance
duru1236,pott1240,123.48745175566916,123.07460886847879
bett1235,nucl1305,104.79303834010263,105.87110307769453
mala1464,ravu1237,380.65027533469225,464.382390287172
kuvi1243,telu1262,156.8524394724272,154.77134274022444
nort2702,koya1251,47.0586371873555,47.99008370741507
pott1240,duru1236,124.96814695309723,124.87710800250214
nucl1305,bett1235,779.0186845231401,784.7641910919652
ravu1237,mala1464,0.0,0.16169252048619573
telu1262,kuvi1243,1027.0894689736956,999.1888037190449
koya1251,nort2702,84.52206134555072,87.27675916631041
