glottocode,area_geodesic
stan1289,47469.0
stan1290,551966.0
ital1282,102679.0
ladi1250,212.0
port1283,97473.0
roma1327,237598.0
sout2614,4862.0
barb1262,4833.0
stan1288,524406.0
wall1255,12125.0
lati1261,4806.0
friu1240,4756.0
osca1245,33296.0
umbr1253,38988.0
angl1258,262582.0
oldf1239,76136.0
braz1246,97473.0
