glottocode,area_geodesic
sout2674,100056.0
umes1235,35811.0
pite1240,23102.0
nort2671,145852.0
inar1241,11421.0
skol1241,30228.0
kild1236,38646.0
finn1318,287774.0
kare1335,107492.0
veps1250,6976.0
ingr1248,1130.0
west2391,10146.0
esto1258,35255.0
sout2679,12144.0
west1760,17394.0
erzy1239,34445.0
east2328,40809.0
komi1268,502032.0
komi1269,10632.0
udmu1245,50419.0
hung1274,237003.0
nort2677,160150.0
fare1244,182151.0
ngan1291,305365.0
nene1249,649553.0
tazz1244,452533.0
