glottocode,area_geodesic
bett1235,651.0
brah1256,49482.0
nort2702,8073.0
nucl1305,675152.0
koda1255,5368.0
kota1263,5817.0
koya1251,23773.0
kuru1302,238063.0
kuvi1243,11290.0
mala1464,175826.0
malt1248,17434.0
pott1240,6447.0
duru1236,5381.0
tami1289,707734.0
telu1262,1253776.0
tulu1258,9343.0
ravu1237,3064.0
