glottocode,area_cartesian
brah1256,34307017104.0
nucl1305,206086167068.0
koda1255,1453617910.0
kota1263,1544469065.0
kuru1302,69908995703.0
mala1464,47499822071.0
tami1289,161606830752.0
telu1262,342766576665.0
tulu1258,2822059654.0
