lang,glottocode,area
Thalanyji,dhal1245,89596.0
Thanggatti,dyan1250,14696.0
Tharrgari,dhar1247,34985.0
Thaynakwith,alng1239,579.0
Tjapwurrung,west2443,28394.0
TweedRiverandPointDangar,yuga1244,8168.0
Umpila,umpi1239,6387.0
Umpithamu,umbi1243,1246.0
UpperBrisbaneRiver,waka1274,43541.0
UpperParoo,bidy1243,33114.0
Uradhi,wuth1237,2398.0
UwOykangand,oyka1239,11257.0
Wadikali,yarl1236,33368.0
Wadjabangayi,bidy1243,22670.0
Wailwan,wayi1238,37973.0
Wajarri,waja1257,420015.0
WakaWaka,waka1274,43541.0
Wakaya,waga1260,125791.0
Walangama,wala1263,9591.0
WalmajarriHR,walm1241,241934.0
WalmajarriNW,walm1241,241934.0
Wanamara,wunu1234,40922.0
Wangkajunga,wang1288,63944.0
Wangkangurru,wang1290,229028.0
Wangkayutyuru,wang1289,139298.0
Wangkumara,wong1246,85374.0
WangkumaraMcDWur,wong1246,85374.0
Wardandi,nyun1247,17614.0
Wargamay,warr1255,5192.0
Warlmanpa,warl1255,112634.0
Warlpiri,warl1254,537513.0
Warluwarra,warl1256,112883.0
Warnman,wanm1242,119331.0
Warriyangga,wari1262,25418.0
Warrnambool,warr1257,24006.0
Warumungu,waru1265,191783.0
Warungu,waru1264,18620.0
Wathawurrung,wath1238,12028.0
Wathiwathi,west2443,3137.0
Watjuk,nyun1247,23977.0
WembaWemba,west2443,51162.0
WesternArrarnta,west2441,150376.0
WikMungkan,wikm1247,19494.0
Wiradjuri,wira1262,211459.0
Wirangu,wira1265,144830.0
Woiwurrung,woiw1237,18693.0
Wulguru,wulg1239,10950.0
YabulaYabula,yort1237,8905.0
Yadhaykenu,yadh1237,10325.0
Yagara,yaga1256,10511.0
Yalarnnga,yala1262,47024.0
Yambina,biri1256,10187.0
Yanda,yand1251,32768.0
Yandruwandha,yand1253,73299.0
Yanyuwa,yany1243,24291.0
Yardliyawarra,yarl1236,39650.0
Yarluyandi,yarl1238,25614.0
Yawarrawarrka,yawa1258,36670.0
Yaygirr,yayg1236,3909.0
Yidiny,yidi1250,4029.0
Yindjibarndi,yind1247,75170.0
Yindjilandji,yind1248,30855.0
Yingkarta,ying1247,123367.0
Yinhawangka,pany1241,47824.0
Yiningay,bidy1243,81354.0
Yinwum,yinw1236,2424.0
YirYoront,yiry1245,4311.0
Yirandali,yira1239,85197.0
YithaYitha,yith1234,9126.0
YortaYorta,yort1237,10098.0
Yulparija,yulp1238,78909.0
Yuwaalaraay,gami1243,21236.0
Zorc,dhuw1249,14608.0
