"glcode","total_pages","iso","macroarea","family_name","latitude","longitude","GB020"
"aari1239",1181,"aiw","Africa",NA,NA,NA,NA
"aasa1238",1136,"aas","Africa",NA,NA,NA,NA
"abab1239",15,NA,"Africa",NA,NA,NA,NA
"abad1241",148,"kbt","Papunesia","Austronesian",-9.03389,146.992,"?"
"abag1245",8,"abg",NA,NA,NA,NA,NA
"abar1238",782,"mij","Africa","Atlantic-Congo",6.5805,10.2267,"1"
"abau1245",3386,"aau","Papunesia","Sepik",-3.97222,141.324,"0"
"abaz1241",4038,"abq","Eurasia",NA,NA,NA,NA
"abee1242",290,"aba","Africa","Atlantic-Congo",5.59682,-4.38497,"1"
"aben1249",401,"abp","Papunesia","Austronesian",15.4131,120.2,"0"
"abid1235",1043,"abi","Africa",NA,NA,NA,NA
"abin1243",482,"bsa","Papunesia",NA,NA,NA,NA
"abip1241",1656,"axb","South America","Guaicuruan",-29,-61,"?"
"abis1238",899,"ash","South America",NA,NA,NA,NA
"abkh1244",10876,"abk","Eurasia","Abkhaz-Adyge",43.056218,41.159115,"1"
"abom1238",49,"aob","Papunesia",NA,NA,NA,NA
"abro1238",1055,"abr","Africa",NA,NA,NA,NA
"abua1244",507,"abn","Africa",NA,NA,NA,NA
"abua1245",372,"aah","Papunesia","Nuclear Torricelli",-3.461612,142.917031,"0"
"abui1241",2759,"abz","Papunesia","Timor-Alor-Pantar",-8.31058,124.588,"1"
"abun1252",1103,"kgr","Papunesia",NA,-0.57073,132.416,"1"
"abur1243",771,"abu","Africa",NA,NA,NA,NA
"abur1244",26,"mgj","Africa",NA,NA,NA,NA
"abuu1241",8,"ado","Papunesia",NA,NA,NA,NA
"acat1239",881,"tpx","North America",NA,NA,NA,NA
"acha1249",1518,"acn","Eurasia","Sino-Tibetan",24.3479,97.7438,"0"
"acha1250",2449,"aca","South America","Arawakan",4.38649,-72.2005,"0"
"ache1244",28,"yif",NA,NA,NA,NA,NA
"ache1245",244,"acz","Africa","Narrow Talodi",10.8827,30.3187,"0"
"ache1246",2643,"guq","South America","Tupian",-25.5865,-56.4697,"?"
"achi1256",3071,"acr","North America","Mayan",15.073,-90.3513,"1"
"achi1257",11343,"ace","Papunesia","Austronesian",3.90757,96.6032,"0"
"achu1247",852,"acv","North America","Palaihnihan",41.0979,-121.191,"0"
"achu1248",5556,"acu","South America","Chicham",-2.82646,-77.2641,"0"
"acol1236",5559,"ach","Africa","Nilotic",3.57738,32.5147,"0"
"acom1246",593,NA,"North America",NA,NA,NA,NA
"acro1239",449,"acs","South America",NA,NA,NA,NA
"adai1235",15,"xad","North America",NA,NA,NA,NA
"adam1238",507,"ads","Africa",NA,NA,NA,NA
"adam1253",16376,"fub",NA,NA,NA,NA,NA
"adan1247",107993,"ada",NA,NA,NA,NA,NA
"adan1248",198,"adq","Africa",NA,NA,NA,NA
"adan1251",476,"adn","Papunesia","Timor-Alor-Pantar",-8.18958,124.448,"1"
"adas1235",19,"tiu","Papunesia",NA,NA,NA,NA
"adel1244",364,"ade","Africa",NA,NA,NA,NA
"adho1243",242,"adh","Africa",NA,NA,NA,NA
"adio1239",3053,"adj","Africa",NA,NA,NA,NA
"adiv1239",3274,"ort","Eurasia",NA,NA,NA,NA
"adny1235",2453,"adt","Australia","Pama-Nyungan",-30.1451,138.671,"0"
"adon1237",335,"adr","Papunesia","Austronesian",-8.32027,123.159,"0"
"adyg1241",9956,"ady","Eurasia",NA,NA,NA,NA
"adze1240",3280,"adz",NA,"Austronesian",-6.39394,146.294,"0"
"adze1241",175,"azr","Papua",NA,NA,NA,NA
"aeka1244",1,"aez","Papunesia",NA,NA,NA,NA
"aeky1238",468,"awi","Papunesia","Kamula-Elevala",-5.88478,141.532,"0"
"afad1236",1464,"aal","Africa","Afro-Asiatic",12.0551,14.6343,"?"
"afar1241",7402,"aar","Africa","Afro-Asiatic",12.2281,41.8083,"0"
"afgh1239",217,"afg","Eurasia",NA,NA,NA,NA
"afik1238",106,NA,"Africa",NA,NA,NA,NA
"afit1238",196,"aft","Africa",NA,NA,NA,NA
"afri1274",42462,"afr",NA,NA,NA,NA,NA
"afro1254",29,"afs","North America",NA,NA,NA,NA
"afro1255",13816,NA,"Africa",NA,NA,NA,NA
"agar1251",320,"agi","Eurasia",NA,NA,NA,NA
"agar1252",1766,"agd","Papunesia",NA,NA,NA,NA
"agat1236",291,"agc","Africa",NA,NA,NA,NA
"agav1236",845,"avo",NA,NA,NA,NA,NA
"aghe1239",3348,"agq",NA,"Atlantic-Congo",6.38956,10.0807,"0"
"aghu1253",1657,"agx","Eurasia",NA,NA,NA,NA
"aghu1254",186,"ggr","Australia","Pama-Nyungan",-13.735,142.426,NA
"aghu1255",1201,"ahh","Papunesia","Nuclear Trans New Guinea",-6.34674,140.043,"0"
"aghw1237",696,"xag","Eurasia","Nakh-Daghestanian",40.374444,47.126667,"1"
"agob1244",920,"kit","Papunesia","Pahoturi",-9.08521,142.532,"0"
"agoi1246",80,"ibm","Africa",NA,NA,NA,NA
"agta1234",1406,"apf","Papunesia",NA,NA,NA,NA
"agua1252",2035,"agu","North America",NA,NA,NA,NA
"agua1253",8347,"agr","South America","Chicham",-5.30044,-77.9218,"?"
"agun1238",25,"aug","Africa",NA,NA,NA,NA
"agus1235",2343,"msm","Papunesia","Austronesian",8.62731,125.742,"?"
"agut1237",2974,"agn","Papunesia","Austronesian",10.5328,119.655,"1"
"agwa1247",382,"yay","Africa",NA,NA,NA,NA
"ahan1243",512,"aha","Africa",NA,NA,NA,NA
"ahan1244",642,"ahn","Africa",NA,NA,NA,NA
"aher1237",53,"esg","Eurasia",NA,NA,NA,NA
"aheu1239",717,"thm","Eurasia","Austroasiatic",17.7655,104.229,"0"
"ahin1234",656,"kak","Papunesia","Austronesian",16.321,120.90003,"1"
"ahom1240",3717,"aho","Eurasia","Tai-Kadai",27.2778,88.464,"0"
"ahte1237",4985,"aht","North America",NA,NA,NA,NA
"ahwa1235",76,"nfd","Africa",NA,NA,NA,NA
"aich1238",328,"aih","Eurasia",NA,NA,NA,NA
"aigh1235",30,"aix","Papunesia",NA,NA,NA,NA
"aika1237",1604,"tba","South America",NA,-12.6695,-60.5353,"0"
"aima1241",390,"aiq","Eurasia",NA,NA,NA,NA
"aime1238",437,"ail","Papunesia","Bosavi",-6.68656,142.656,"1"
"aimo1244",420,"aim","Eurasia",NA,NA,NA,NA
"ainb1238",14,"aic","Papunesia",NA,NA,NA,NA
"ainu1240",8804,"ain","Eurasia","Ainu",43.633654,142.46167,"0"
"ainu1251",1051,"aib","Eurasia",NA,NA,NA,NA
"airo1242",12,"air","Papunesia",NA,NA,NA,NA
"aito1238",1248,"aio","Eurasia","Tai-Kadai",26.5145,92.3169,"1"
"ajab1235",2151,"ajg","Africa","Atlantic-Congo",7.06634,1.64992,"1"
"ajaw1236",4,"ajw","Africa",NA,NA,NA,NA
"ajie1238",2027,NA,"Papunesia","Austronesian",-21.3029,165.468,"0"
"ajyi1238",1960,"cpc","South America","Arawakan",-9.82364,-74.61947,NA
"akab1248",510,"akm","Eurasia",NA,NA,NA,NA
"akab1249",1616,"abj","Eurasia","Great Andamanese",12.3782,92.7818,"1"
"akac1240",497,"aci","Eurasia",NA,NA,NA,NA
"akaj1239",2216,"akj","Eurasia","Great Andamanese",13.1525,92.9504,"0"
"akak1251",30,"ack","Eurasia",NA,NA,NA,NA
"akak1252",229,"akx","Eurasia",NA,NA,NA,NA
"akak1253",598,"aky","Eurasia",NA,NA,NA,NA
"akan1250",23933,"aka",NA,"Atlantic-Congo",6.34756,-1.33254,"1"
"akar1243",33,"acl","Eurasia",NA,NA,NA,NA
"akar1244",4,NA,"Australia",NA,NA,NA,NA
"akas1242",90,"aks","Africa",NA,NA,NA,NA
"akaw1239",3709,"ake","South America",NA,NA,NA,NA
"akeb1238",404,"keu","Africa",NA,NA,NA,NA
"akee1238",78,"aik","Africa",NA,NA,NA,NA
"akei1237",13,"tsr","Papunesia","Austronesian",-15.6377,166.767,"0"
"akeu1235",440,"aeu","Eurasia",NA,NA,NA,NA
"akha1245",5561,"ahk",NA,"Sino-Tibetan",21.2309,100.964,"0"
"akhv1239",2104,"akv","Eurasia",NA,NA,NA,NA
"akim1239",579,NA,"North America",NA,NA,NA,NA
"akka1237",229,"sia","Eurasia",NA,NA,NA,NA
"akka1240",16520,"akk","Eurasia","Afro-Asiatic",33.1,44.1,"0"
"akla1240",1044,"akl","Papunesia",NA,NA,NA,NA
"akla1241",38,NA,"Papunesia","Austronesian",11.5543,122.354,"1"
"akoo1248",1248,"bss","Africa","Atlantic-Congo",4.9243,9.65522,"0"
"akoy1238",763,"miw","Papunesia",NA,NA,NA,NA
"akpa1238",35,"akf","Africa",NA,NA,NA,NA
"akpe1248",841,"ibe","Africa",NA,NA,NA,NA
"akru1241",376,"afi","Papunesia",NA,NA,NA,NA
"akuk1235",188,"ayk","Africa",NA,NA,NA,NA
"akum1238",28,"aku","Africa",NA,NA,NA,NA
"akun1241",516,"aqz","South America","Tupian",-12.8322,-60.9716,"1"
"akur1238",261,"ako","South America",NA,NA,NA,NA
"akwa1248",560,"akw","Africa",NA,NA,NA,NA
"akye1239",8,NA,"Africa",NA,NA,NA,NA
"alab1237",1431,"akz","North America","Muskogean",30.76738,-94.62848,"0"
"alab1246",894,"dul","Papunesia",NA,NA,NA,NA
"alab1254",1382,"alw","Africa","Afro-Asiatic",7.39014,38.1732,"1"
"alac1244",1501,"mim","North America","Otomanguean",17.25,-98.58,"0"
"alag1242",23,"ala",NA,NA,NA,NA,NA
"alag1248",611,"wbj","Africa","Afro-Asiatic",-4.64148,35.7231,"0"
"alak1253",432,"alk","Eurasia",NA,NA,NA,NA
"alam1246",6073,"amp","Papunesia","Sepik",-4.66307,143.316,"1"
"alan1249",40,"alj","Papunesia",NA,NA,NA,NA
"alaw1244",1401,"alh","Australia",NA,NA,NA,NA
"alba1269",636,"bhk","Papunesia","Austronesian",13.1989,123.49,"0"
"alba1270",268,NA,"North America",NA,NA,NA,NA
"alba1271",163,"sqk","Eurasia",NA,NA,NA,NA
"alba1273",20,"lsc","North America",NA,NA,NA,NA
"alco1235",810,"xta","North America",NA,NA,NA,NA
"aleg1238",53,"alf","Africa",NA,NA,NA,NA
"alek1238",3827,"gah","Papunesia",NA,NA,NA,NA
"aleu1260",10579,"ale","North America","Eskimo-Aleut",52.1228,-174.29,"0"
"alge1235",136,"asp","Africa",NA,NA,NA,NA
"alge1239",9798,"arq","Africa",NA,NA,NA,NA
"alge1240",199,"aao","Africa",NA,NA,NA,NA
"algi1247",56,NA,"Africa",NA,NA,NA,NA
"algo1255",2808,"alq","North America",NA,NA,NA,NA
"algo1256",33,NA,NA,NA,NA,NA,NA
"alii1240",215,"aiy","Africa",NA,NA,NA,NA
"alla1247",2,"all","Eurasia",NA,NA,NA,NA
"alla1248",1115,"ald","Africa",NA,NA,NA,NA
"aloa1235",83,"zaq","North America",NA,NA,NA,NA
"alop1235",439,"ypo","Eurasia",NA,NA,NA,NA
"alor1247",753,"aol","Papunesia","Austronesian",-8.20382,124.264,"0"
"alsa1242",294,"syy","Eurasia",NA,NA,NA,NA
"alse1251",1017,"aes","North America",NA,44.408,-123.94,"1"
"aluk1238",2351,"xua",NA,"Dravidian",11.3456,76.7995,"0"
"alum1246",2975,"aab","Eurasia",NA,NA,NA,NA
"alun1238",2131,"alp","Papunesia",NA,NA,NA,NA
"aluo1235",149,"yna","Eurasia",NA,NA,NA,NA
"alur1250",3384,"alz","Africa",NA,NA,NA,NA
"alut1245",3325,"alr",NA,NA,NA,NA,NA
"alvi1241",30,"avd","Eurasia",NA,NA,NA,NA
"alya1239",2450,"aly","Australia","Pama-Nyungan",-21.0427,136.835,"1"
"amah1246",2695,"amc","South America","Pano-Tacanan",-10.2012,-72.3208,"0"
"amai1246",739,"ali","Papua",NA,NA,NA,NA
"amam1247",74,"jks","Eurasia",NA,NA,NA,NA
"aman1265",4918,"amn","Papunesia",NA,NA,NA,NA
"aman1266",537,"ama","South America",NA,NA,NA,NA
"amap1240",2258,"amm","Papunesia","Left May",-4.20192,141.658,"0"
"amar1271",346,"amg","Australia",NA,NA,NA,NA
"amar1272",291,"aie","Papunesia","Austronesian",-5.55778,148.68,"0"
"amar1273",985,"aaz","Papunesia",NA,NA,NA,NA
"amar1274",4732,"amr","South America","Harakmbut",-12.4931,-70.5533,"0"
"amar1281",26,NA,"Africa",NA,NA,NA,NA
"amas1236",760,"nyi","Africa","Nyimang",12.0993,29.4332,"0"
"amat1238",797,"zpo","Africa",NA,NA,NA,NA
"amba1263",602,"rwm","Africa",NA,NA,NA,NA
"amba1265",936,"amk","Papunesia",NA,NA,NA,NA
"amba1267",132,"abc","Papunesia",NA,NA,NA,NA
"amba1269",246,"aew","Papunesia",NA,NA,NA,NA
"ambe1247",289,"ael","Africa",NA,NA,NA,NA
"ambe1248",47,"amv","Papunesia",NA,NA,NA,NA
"ambo1250",1956,"abs","Papunesia","Austronesian",-3.71342,128.184,"1"
"ambo1252",734,"qva","South America",NA,NA,NA,NA
"ambu1247",7942,"abt","Papua","Ndu",-3.7801,143.059,"0"
"amda1238",260,NA,"Africa",NA,NA,NA,NA
"amdo1237",8050,"adx","Eurasia","Sino-Tibetan",34.5177,100.485,"0"
"amel1241",4250,"aey","Papunesia",NA,NA,NA,NA
"amer1248",7403,"ase","North America",NA,NA,NA,NA
"amer1254",18,NA,"Eurasia",NA,NA,NA,NA
"amga1235",1780,"ifa","Papunesia",NA,NA,NA,NA
"amha1245",41947,"amh","Africa","Afro-Asiatic",11.708182,39.543456,"1"
"amii1238",1006,"amy","Australia","Western Daly",-13.5573,130.04,"1"
"amis1246",4306,"ami","Papunesia","Austronesian",23.0917,121.348,"0"
"amol1236",43,"mbz","North America",NA,NA,NA,NA
"amoo1242",209,"amo","Africa",NA,NA,NA,NA
"ampa1238",30,"aqd","Africa",NA,NA,NA,NA
"ampa1239",70,"apg","Papunesia",NA,NA,NA,NA
"amri1238",641,"ajz","Eurasia","Sino-Tibetan",26.024,91.482,"?"
"amto1250",113,"amt","Papunesia",NA,NA,NA,NA
"amun1246",856,"adw","South America",NA,NA,NA,NA
"anaa1238",752,"anw","Africa",NA,NA,NA,NA
"anak1240",440,"akg","Papunesia",NA,NA,NA,NA
"anal1239",686,"anm","Eurasia",NA,NA,NA,NA
"anam1248",476,"imi","Papunesia",NA,NA,NA,NA
"anam1249",409,"aan","South America",NA,NA,NA,NA
"anat1248",27,"dti","Africa",NA,NA,NA,NA
"anci1242",23390,"grc","Eurasia","Indo-European",39.8155,21.9129,"1"
"anci1244",19323,"hbo","Eurasia","Afro-Asiatic",31.7761,35.1725,"1"
"anci1245",2110,"xna","Eurasia",NA,NA,NA,NA
"anci1248",22,"xlg","Eurasia",NA,NA,NA,NA
"anda1280",59,"hca","Eurasia",NA,NA,NA,NA
"anda1283",35,"afd","Papunesia",NA,NA,NA,NA
"anda1284",1,"aod","Papunesia",NA,NA,NA,NA
"anda1286",674,"ana","South America",NA,NA,NA,NA
"anda1287",2566,"xaa","Eurasia",NA,NA,NA,NA
"ande1247",232,"adg","Australia",NA,NA,NA,NA
"andh1242",792,"anr","Eurasia",NA,NA,NA,NA
"andi1255",2978,"ani",NA,NA,NA,NA,NA
"andi1257",22,"bzb","Papunesia",NA,NA,NA,NA
"ando1255",257,"anb","South America",NA,NA,NA,NA
"ando1256",1841,"ano","South America",NA,-0.53751,-72.0869,"1"
"andr1248",2,"anx","Papunesia",NA,NA,NA,NA
"anei1239",1644,"aty","Papunesia","Austronesian",-20.1864,169.825,"0"
"anem1248",5,"aby","Papunesia",NA,NA,NA,NA
"anem1249",188,"anz","Papunesia",NA,-5.54836,148.993,"0"
"anfi1235",794,"myo","Africa","Ta-Ne-Omotic",8.568,34.647,"1"
"anga1288",3097,"njm","Eurasia","Sino-Tibetan",25.6841,93.8668,"1"
"anga1290",2233,"agm","Papunesia","Angan",-7.15012,146.352,"0"
"anga1292",756,"akh","Papunesia",NA,NA,NA,NA
"anga1293",727,"age","Papunesia",NA,NA,NA,NA
"anga1294",1573,"aoe","Papunesia",NA,NA,NA,NA
"anga1316",448,"aqt","South America",NA,NA,NA,NA
"angg1239",841,"yli","Papunesia",NA,NA,NA,NA
"angi1238",156,"anp","Eurasia",NA,NA,NA,NA
"angl1239",2046,"rme","Eurasia",NA,NA,NA,NA
"angl1258",300,"xno","Eurasia",NA,NA,NA,NA
"ango1254",3462,"agg","Papunesia",NA,NA,NA,NA
"ango1255",27,"aog","Papunesia",NA,NA,NA,NA
"ango1257",331,"tnd","South America","Chibchan",6.54198,-71.9212,"?"
"ango1258",1850,"aoa","Africa",NA,NA,NA,NA
"angu1242",56,"awg","Australia",NA,NA,NA,NA
"anii1245",826,"blo","Africa",NA,NA,NA,NA
"anii1246",3737,"hnh","Africa",NA,NA,NA,NA
"anim1239",28,"anf","Africa",NA,NA,NA,NA
"anin1240",4546,"aoi","Australia","Gunwinyguan",-13.99904,136.6415,"0"
"anin1242",24,"aqk","Africa",NA,NA,NA,NA
"anip1235",189,"ypn","Eurasia",NA,NA,NA,NA
"anja1238",1191,"boj","Papunesia",NA,NA,NA,NA
"anka1246",1208,"aak","Papunesia",NA,NA,NA,NA
"anma1239",1407,"amx","Australia",NA,NA,NA,NA
"anor1241",187,"anj","Papunesia",NA,NA,NA,NA
"anse1238",345,"ans","South America",NA,NA,NA,NA
"ansu1237",226,"and","Papunesia",NA,NA,NA,NA
"anta1253",359,"ant","Australia",NA,NA,NA,NA
"anta1255",1411,"xmv","Africa","Austronesian",-13.2164,49.2402,"1"
"anti1245",465,"aig","North America",NA,NA,NA,NA
"anua1242",2951,"anu","Africa","Nilotic",7.57714,34.0267,"1"
"anuf1239",1911,"cko","Africa","Atlantic-Congo",10.2839,0.56021,"1"
"anut1237",1080,"aud",NA,"Austronesian",-11.61,169.85,"1"
"anuu1241",171,"anl","Eurasia","Sino-Tibetan",21.5,93.05,"1"
"anyi1244",574,"mtb","Africa",NA,NA,NA,NA
"anyi1245",5686,"any","Africa",NA,NA,NA,NA
"aohe1237",1054,"pni","Papunesia",NA,NA,NA,NA
"aona1235",5701,"njo",NA,"Sino-Tibetan",26.3241,94.3824,"0"
"aoua1234",1348,"aou","Eurasia","Tai-Kadai",26.8,105.85,"1"
"apac1239",16,NA,NA,NA,NA,NA,NA
"apal1237",71,"xap","North America",NA,NA,NA,NA
"apal1256",53,"ena","Papunesia",NA,NA,NA,NA
"apal1257",1377,"apy","South America",NA,NA,NA,NA
"apas1235",32,"mip","North America",NA,NA,NA,NA
"apat1240",2755,"apt","Eurasia","Sino-Tibetan",27.1933,93.7284,"0"
"apia1248",2553,"api","South America",NA,NA,NA,NA
"apin1244",4482,"apn","South America","Nuclear-Macro-Je",-6.10774,-47.6315,"1"
"apma1240",1027,"app","Papunesia","Austronesian",-15.8559,168.189,"1"
"apma1241",735,"kbx","Papunesia","Keram",-4.35147,144.085,"0"
"apro1235",137,"ahp","Africa",NA,NA,NA,NA
"apuc1241",172,"apq","Eurasia",NA,NA,NA,NA
"apul1237",12,NA,"Eurasia",NA,NA,NA,NA
"apur1254",2223,"apu","South America","Arawakan",-8.21692,-66.7714,"0"
"aput1237",26,"apx","Papunesia",NA,NA,NA,NA
"arab1267",680,"ard","Australia","Pama-Nyungan",-28.705,135.449,NA
"arab1268",2005,"arl","South America",NA,NA,NA,NA
"arag1245",4594,"arg","Eurasia",NA,NA,NA,NA
"arak1252",353,"akr","Papunesia","Austronesian",-15.632997,166.952542,"0"
"arak1254",443,"rkw","Australia",NA,NA,NA,NA
"aral1243",175,"atq","Papunesia",NA,NA,NA,NA
"aram1253",225,"stk","Papunesia","Yam",-8.29593,141.445,"0"
"aran1237",155,"jbj","Papunesia",NA,NA,NA,NA
"aran1261",5,NA,"Eurasia",NA,NA,NA,NA
"aran1267",32,NA,NA,NA,NA,NA,NA
"arao1248",2561,"aro","South America","Pano-Tacanan",-12.4242,-67.7293,"1"
"arap1274",2773,"arp","North America","Algic",43.3879,-108.81,"0"
"arap1275",289,"arj","South America",NA,NA,NA,NA
"araw1273",2294,"awt","South America","Tupian",-4.90246,-52.5001,"0"
"araw1276",5319,"arw","South America","Arawakan",5.64295,-56.9243,"1"
"araw1281",3236,NA,"South America",NA,NA,NA,NA
"arbe1236",2826,"aae","Eurasia",NA,NA,NA,NA
"arbo1245",1083,"arv","Africa","Afro-Asiatic",4.92183,36.7986,"1"
"arch1244",4304,"aqc","Eurasia","Nakh-Daghestanian",42.3239,46.8267,"0"
"area1240",519,"alu","Papunesia","Austronesian",-9.20699,161.158,"1"
"aree1239",142,"mwc","Papunesia","Austronesian",-9.67147,149.999,"0"
"arem1240",21,"aem","Eurasia",NA,NA,NA,NA
"areq1237",1258,"qxu","South America",NA,NA,NA,NA
"arew1238",41,NA,"Africa",NA,NA,NA,NA
"arge1236",2120,"aed","South America",NA,NA,NA,NA
"argo1244",1631,"agj","Africa","Afro-Asiatic",10.6596,39.756,"1"
"argu1237",162,"agf","Papunesia",NA,NA,NA,NA
"arha1237",38,"aqr","Papunesia",NA,NA,NA,NA
"arho1237",6,NA,"Papunesia",NA,NA,NA,NA
"arhu1242",4941,"arh","South America","Chibchan",10.7018,-73.6363,"1"
"arib1241",38,"laz","Papunesia","Austronesian",-6.72266,146.991,"1"
"arif1239",477,"aai","Papunesia",NA,NA,NA,NA
"arig1246",912,"aqg","Africa","Atlantic-Congo",7.56324,5.89556,"1"
"arik1262",854,"ari","North America",NA,NA,NA,NA
"arik1264",3,"ait","South America",NA,NA,NA,NA
"arik1265",1894,"ark",NA,"Nuclear-Macro-Je",-12.4878,-62.7261,"?"
"arin1244",9,"luc","Africa",NA,NA,NA,NA
"ariz1237",33,NA,"North America",NA,NA,NA,NA
"arma1244",48,"aoh",NA,NA,NA,NA,NA
"arme1259",1170,"aen",NA,NA,NA,NA,NA
"arom1237",7910,"rup","Eurasia","Indo-European",40.616,21.2,"1"
"arop1242",339,"aps","Papunesia","Austronesian",-3.06984,142.12,"0"
"arop1243",201,"apr","Papunesia","Austronesian",-5.31671,147.103,"0"
"aros1241",1445,"aia","Papunesia","Austronesian",-10.2441,161.432,"1"
"arta1239",630,"atz","Papunesia","Austronesian",16.4185,121.656,"1"
"arua1260",2,"msy","Papunesia",NA,NA,NA,NA
"arua1261",3,"arx","South America",NA,NA,NA,NA
"arua1263",16,"aru","South America",NA,NA,NA,NA
"arut1244",164,"atx","South America",NA,NA,NA,NA
"arva1236",1994,"aat","Eurasia",NA,NA,NA,NA
"asan1239",400,NA,"Africa",NA,NA,NA,NA
"asha1243",5378,"cni","South America","Arawakan",-11.9311,-73.9073,"0"
"ashe1269",80,"ahs","Africa",NA,NA,NA,NA
"ashe1272",2719,"prq","South America","Arawakan",-10.9777,-74.9153,"0"
"ashe1273",3475,"cjo","South America",NA,NA,NA,NA
"ashk1246",304,"ask","Eurasia",NA,NA,NA,NA
"asho1236",3940,"csh","Eurasia",NA,NA,NA,NA
"asht1244",392,"atn","Eurasia",NA,NA,NA,NA
"asil1242",209,"asl","Papunesia",NA,NA,NA,NA
"asoa1238",241,"asv","Africa","Central Sudanic",2.26818,26.7198,"0"
"assa1263",7325,"asm","Eurasia",NA,NA,NA,NA
"assa1269",180,NA,"Africa",NA,NA,NA,NA
"assi1247",3318,"asb","North America","Siouan",49.2923,-106.068,"0"
"asss1237",75,"asz","Papunesia",NA,NA,NA,NA
"assy1241",9227,"aii","Eurasia",NA,NA,NA,NA
"astu1245",5537,"ast","Eurasia",NA,NA,NA,NA
"asue1235",115,"psa","Papunesia",NA,NA,NA,NA
"asum1237",8,"aua","Papunesia",NA,NA,NA,NA
"asun1235",203,"aum","Africa",NA,NA,NA,NA
"asun1236",238,"zoo","North America",NA,NA,NA,NA
"asur1254",362,"asr","Eurasia","Austroasiatic",21.5721,83.4562,"0"
"asut1235",2712,"asa","Africa","Atlantic-Congo",-4.17978,37.8323,"0"
"ataa1240",166,"atm","Papunesia",NA,NA,NA,NA
"atak1252",1149,"aqp","North America",NA,30.9121,-93.0827,"?"
"atam1239",153,"amz",NA,"Pama-Nyungan",-11.0018,142.273,"0"
"atam1240",952,"atd","Papunesia","Austronesian",7.7789,125.499,"1"
"atat1238",530,"mib","North America",NA,NA,NA,NA
"atay1247",4927,"tay","Papunesia","Austronesian",24.5209,121.388,"1"
"atem1241",1273,"ate","Papunesia",NA,NA,NA,NA
"atha1245",18,NA,NA,NA,NA,NA,NA
"athp1241",737,"aph","Eurasia","Sino-Tibetan",26.8794,87.3296,"0"
"atii1237",831,"atk",NA,"Austronesian",11.1539,122.512,"0"
"atik1240",919,"atj","North America",NA,NA,NA,NA
"atoh1238",16,"aqm","Papunesia",NA,NA,NA,NA
"aton1241",2185,"aot","Eurasia","Sino-Tibetan",25.346508,90.658722,"0"
"ator1244",1759,"aox","South America",NA,NA,NA,NA
"atsa1241",184,"cch","Africa",NA,NA,NA,NA
"atsu1245",959,"atw","North America",NA,NA,NA,NA
"atta1243",11,"pkr","Eurasia",NA,NA,NA,NA
"atti1239",1854,"ati","Africa",NA,NA,NA,NA
"atzi1235",1318,"ocu","North America",NA,NA,NA,NA
"auhe1237",1207,"kud","Papunesia",NA,NA,NA,NA
"aulu1238",42,"aul","Papunesia","Austronesian",-16.3579,167.697,"?"
"aura1243",102,NA,"South America",NA,NA,NA,NA
"aush1241",1115,"auh","Africa",NA,NA,NA,NA
"aust1252",117,"asq","Eurasia",NA,NA,NA,NA
"aust1253",1347,"asw","Australia",NA,NA,NA,NA
"aust1271",1701,"asf","Australia",NA,NA,NA,NA
"aust1304",506,"aut","Papunesia",NA,NA,NA,NA
"aust1305",3734,NA,"Eurasia",NA,NA,NA,NA
"auuu1241",3811,"avt","Papunesia","Nuclear Torricelli",-3.53277,142.105,"0"
"auye1238",402,"auu","Papunesia","Nuclear Trans New Guinea",-3.43705,136.096,"1"
"auyo1240",80,"auo","Africa",NA,NA,NA,NA
"avac1239",1811,"avv","South America","Tupian",-13.6081,-48.1336,"0"
"avar1256",10168,"ava","Eurasia",NA,NA,NA,NA
"avat1244",1158,"avn","Africa","Atlantic-Congo",6.8688,0.41314,"1"
"aves1237",9317,"ave","Eurasia",NA,NA,NA,NA
"avik1243",495,NA,"Africa",NA,NA,NA,NA
"avok1242",1198,"avu","Africa","Central Sudanic",4.38639,29.9379,"0"
"awab1243",3677,"awk","Australia","Pama-Nyungan",-33.12847,151.43555,NA
"awac1238",347,"vwa","Eurasia",NA,NA,NA,NA
"awac1239",2770,"kwi","South America","Barbacoan",1.21652,-78.3401,"0"
"awad1243",1480,"awa","Eurasia","Indo-European",27.5907,82.4663,"0"
"awad1244",1556,"bcu","Eurasia","Austronesian",-5.59896,146.355,"0"
"awak1250",16,"awo","Africa",NA,NA,NA,NA
"awap1236",9376,"awb","Papunesia","Nuclear Trans New Guinea",-6.65534,145.714,"1"
"awar1248",1170,"awx","Papunesia","Nuclear Trans New Guinea",-6.16986,146.372,"0"
"awar1249",341,"aya","Papunesia","Lower Sepik-Ramu",-4.13554,144.836,"1"
"awee1242",1042,"bob","Africa",NA,NA,NA,NA
"awet1244",2188,"awe","South America","Tupian",-12.381944,-53.391944,"0"
"awin1248",566,"azo","Africa",NA,NA,NA,NA
"awiy1238",4322,"auy","Papunesia",NA,NA,NA,NA
"awji1241",477,"auj","Africa","Afro-Asiatic",29.2341,21.1819,"?"
"awng1244",1663,"awn","Africa",NA,NA,NA,NA
"awtu1239",631,"kmn","Papunesia","Sepik",-3.53129,141.928,"0"
"awun1245",761,"aww","Papunesia",NA,NA,NA,NA
"awut1241",685,"afu","Africa",NA,NA,NA,NA
"awuu1235",424,"yiu","Eurasia",NA,NA,NA,NA
