lang,lang_sister,cherry,n_loans,p_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,n_loans_sister,p_loans_sister,area_ratio
GuuguYimidhirr,KukuYalanji,49,0,0,gugu1255,12785,gugu1255,kuku1273,71.232,76.127,8680.603,8232.935,20634,116.559,10707.563,1,0.304878048780488,-0.478667591935034
Guwa,Yanda,27,5,2.84090909090909,guwa1242,57738,guwa1242,yand1251,131.274,131.549,19142.045,16634.439,32768,105.03,30576.838,5,4.71698113207547,0.566463106185276
Guwamu,Gunggari,56,3,1.26582278481013,guwa1243,68074,guwa1243,kung1258,117.171,111.526,5707.543,3646.252,29980,67.214,20445.692,2,1.08108108108108,0.820064856096978
HOPKINSRIVER,Bindjali,91,0,0,warr1257,24006,warr1257,warr1257,2719.798,2718.731,3584.201,2735.052,13531,2699.923,5137.564,0,0,0.573320449821646
Ikarranggal,Walangama,37,0,0,gurd1238,9734,gurd1238,wala1263,465.188,464.225,10483.473,10327.065,9591,470.777,7883.676,0,0,0.0147997526654485
Injinoo,Yadhaykenu,43,0,0,angg1238,2198,angg1238,yadh1237,32.369,32.736,2001.446,1339.816,10325,62.13,5755.918,0,0,-1.54702028286567
Iyora,Birrpayi,71,0,0,sydn1236,4468,sydn1236,sydn1236,293.678,290.272,1207.826,1090.275,7958,270.816,1025.206,0,0,-0.577236830797783
Janday,Yagara,81,0,0,jand1248,869,jand1248,yaga1256,11.33,11.549,2115.839,1164.981,10511,85.81,1739.581,0,0,-2.49283448155796
Jaru,JaruMcC,17,5,1.27226463104326,jaru1254,161489,jaru1254,jaru1254,1,0,12016.536,6994.625,161489,1,6994.625,28,14.5833333333333,0
JaruMcC,Jaru,17,28,14.5833333333333,jaru1254,161489,jaru1254,jaru1254,1,0,12016.536,6994.625,161489,1,6994.625,5,1.27226463104326,0
Jiwarli,Warriyangga,10,1,0.290697674418605,djiw1241,57366,djiw1241,wari1262,172.944,165.214,54168.345,43985.693,25418,86.719,16341.259,1,0.314465408805031,0.813994208871485
Jiwarliny,WalmajarriNW,19,0,0,walm1241,160101,walm1241,walm1241,129.752,148.171,175971.824,192226.433,241934,248.23,93806.459,7,5.93220338983051,-0.412860095607761
Kalkatungu,Yalarnnga,62,0,0,kalk1246,72043,kalk1246,yala1262,119.514,122.323,25192.028,21183.063,47024,106.622,19012.28,4,1.2987012987013,0.426605053295498
Karajarri,KarajarriNW,20,31,7.94871794871795,kara1476,84988,kara1476,kara1476,1,0,77508.523,72995.904,84988,1,72995.904,8,5.33333333333333,0
KarajarriNW,Karajarri,20,8,5.33333333333333,kara1476,84988,kara1476,kara1476,1,0,77508.523,72995.904,84988,1,72995.904,31,7.94871794871795,0
Kariyarra,Ngarluma,12,0,0,kari1304,89950,kari1304,ngar1287,135.347,131.634,14851.495,14745.833,68813,139.346,5233.382,5,1.27877237851662,0.267861279818334
Karree,Awabakal,69,0,0,awab1243,11913,awab1243,awab1243,1,0,1894.523,1308.396,11913,1,1308.396,0,0,0
Kartujarra,Warnman,23,3,0.890207715133531,kart1247,170951,kart1247,wanm1242,196.887,197.913,52978.184,51685.898,119331,115.098,64963.785,1,0.286532951289398,0.359475821263044
Karuwali,Mithaka,31,1,0.917431192660551,karr1236,82515,karr1236,mith1236,168.312,174.324,18726.587,14944.509,28298,98.766,14341.666,4,1.98019801980198,1.07018896422177
Katthang,SteeleGDG,70,0,0,wori1245,13710,wori1245,wori1245,44.046,47.707,1275.863,920.661,5297,20.928,1186.693,0,0,0.950984871011833
Kayardild,Lardil,68,0,0,kaya1319,1134,kaya1319,lard1243,60.494,60.387,3200.191,2065.365,4012,79.288,1545.032,0,0,-1.26353866479413
