name,fid,tessellate,extrude,visibility,layer,path,description,family,dialect,auxiliary_storage_labeling_show
Wanamara,17,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Mangala,18,1,0,-1,Marrngu,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Marrngu,,,,
Mayi-Kulan,19,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Ngawun,20,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Mayi-Yapi,21,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Mayi-Kutuna,22,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Ayapathu,23,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Mayi-Thakurti,24,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,,,,
Kuuku Yani,25,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Kuuku-Ya'u,27,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Kugu Nganhcara,29,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Kaanju,30,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Wik Mungkan,31,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,,,,
Badjiri,33,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Wadjabangayi,34,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Gungabula,35,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Gunggari,36,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Bidjara,37,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Yirandhali,38,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Guwamu,39,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Gunya,40,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Muruwari,41,1,0,-1,SouthEastern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=SouthEastern,,,,
Margany,42,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,,,,
Ritharrngu,43,1,0,-1,Southern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern,,,,
Nganyaywana,44,1,0,-1,Anaiwan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=SouthEastern,,,,
Goreng,45,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),,,y,
Minang,46,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),,,y,
Nyunga,47,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),,,y,
Wudjari,48,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),,,,
Parrintyi,51,1,0,-1,Paakantyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,,,y,
Kurnu,52,1,0,-1,Paakantyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,,,,
Pantyikali,53,1,0,-1,Paakantyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,,,,
Southern Paakantyi,54,1,0,-1,Paakantyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,,,y,
Flinders Island,55,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,,,,
Guugu-Yimidhirr,56,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,,,,
Mbabaram,57,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,,,,
Barrow Point,58,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,,,,
Kuku Thaypan,60,1,0,-1,Rarmul Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rarmul Paman,,,,
Ngalakgan,61,1,0,-1,Rembarrnga-Ngalakgan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rembarrnga-Ngalakgan,,NonPNy,,
Rembarrnga,64,1,0,-1,Rembarrnga-Ngalakgan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rembarrnga-Ngalakgan,,NonPNy,,
Mbeiwum,65,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),,,,
Yatay,66,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),,,,
