language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Guwamu,guwa1243,Guwamu,AustralianPolygons.kml,Guwamu,100,
Guwar,guwa1244,Guwar,AustralianPolygons.kml,Guwar,100,
Guyani,guya1249,Guyani,AustralianPolygons.kml,Guyani,100,
HOPKINSRIVER,warr1257,Warrnambool,AustralianPolygons.kml,Warrnambool,100,
Hawkesbury,hawk1239,Hawkesbury,,,(53 for Wubuy),
Ikarranggal,gurd1238,Gurdjar,AustralianPolygons.kml,Ikarranggal,100,
Injinoo,angg1238,Angkamuthi,AustralianPolygons.kml,Angkamuthi,100,
IrwinMurchison,badi1246,Badimaya,AustralianPolygons.kml,Badimaya,100,
Iyora,sydn1236,Sydney,SnappedLangs.gpkg,Iyora,100,
Jaitmatang,sout2771,Southern Coastal Yuin,,,(59 for Southern Anaiwan),
Janday,jand1248,Jandai,AustralianPolygons.kml,Janday,100,
Jaru,jaru1254,Jaru,AustralianPolygons.kml,Jaru,100,
JaruMcC,jaru1254,Jaru,AustralianPolygons.kml,Jaru,100,
Jiwarli,djiw1241,Djiwarli,AustralianPolygons.kml,Jiwarli,100,
Jiwarliny,walm1241,Walmajarri-Juwaliny,AustralianPolygons.kml,Jiwarliny,100,
KKY,kala1377,Kala Lagaw Ya,AustralianPolygons.kml,Kala Lagaw Ya,100,
KLY,kala1377,Kala Lagaw Ya,AustralianPolygons.kml,Kala Lagaw Ya,100,
Kaanju,kanj1260,Kanju,AustralianPolygons.kml,Kaanju,100,
Kalaamaya,kala1401,Kalaamaya,AustralianPolygons.kml,Kalaamaya,100,
Kalkatungu,kalk1246,Kalkatungu,AustralianPolygons.kml,Kalkatungu,100,
Kamilaroi,gami1243,Yuwaalaraay-Gamilaraay,,,(67 for Yuwaalaraay),
Kaniyang,kani1276,Kaniyang,AustralianPolygons.kml,Kaniyang,100,
Karajarri,kara1476,Karadjeri,AustralianPolygons.kml,Karajarri,100,
KarajarriNW,kara1476,Karadjeri,AustralianPolygons.kml,Karajarri,90,
Kariyarra,kari1304,Kariyarra,AustralianPolygons.kml,Kariyarra,100,
Karree,awab1243,Awabakal,SnappedLangs.gpkg,Awabakal,100,
Kartujarra,kart1247,Kartujarra,AustralianPolygons.kml,Kartujarra,100,
Karuwali,karr1236,Karruwali,AustralianPolygons.kml,Karuwali,100,
Katthang,wori1245,Worimi,AustralianPolygons.kml,Katthang,100,
