name,fid,tessellate,extrude,visibility,layer,path,description
Wudjari,48,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),
Danggali,49,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Barundji,50,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Barindji,51,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Kurnu,52,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Wilyagali,53,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Southern Paakantyi,54,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Flinders Island,55,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Guugu-Yimidhirr,56,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Mbabaram,57,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Barrow Point,58,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Kuku Thaypan,60,1,0,-1,Rarmul Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rarmul Paman,
Ngalakgan,61,1,0,-1,Rembarrnga-Ngalakgan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rembarrnga-Ngalakgan,
Mandandanji,63,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Rembarrnga,64,1,0,-1,Rembarrnga-Ngalakgan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rembarrnga-Ngalakgan,
Mbeiwum,65,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Yatay,66,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Umpila,67,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Yinwum,68,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Yadhaykenu,69,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Linngithigh,70,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Luthigh,71,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Anguthimri,72,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Aritinngithigh,73,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Muthanthi,74,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Uradhi,75,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Yupngayth,76,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Ndra'ngith,77,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Alngith,78,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Bandjigali,79,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Malak Malak,80,1,0,-1,Northern Daly,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern Daly,
Kukatja,81,1,0,-1,Northern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#2),
Yulparija,82,1,0,-1,Northern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#2),
Nyaki Nyaki,83,1,0,-1,Northern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#3),
Nganakarti,84,1,0,-1,Northern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#3),
Balardung,85,1,0,-1,Northern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#3),
Wajuk,86,1,0,-1,Northern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#3),
Kukatj,87,1,0,-1,Northern (#4),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#4),
Amangu,88,1,0,-1,Northern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#3),
