label,Name,Glottocode,weightedSpikes,weightedSpikes_median
SanuviriWama,Saṇu-viri: Wâmâ,ashk1246,6.661672106177776,4.651183988914921
Kamviri,Kamviri,kamv1242,1.155741491005436,0.6791411308257963
KatavariEastern,Kâta-vari: Eastern,east2308,1.9988400158136133,1.555220143913004
KatavariKtivi,Kâta-vari: Ktivi,west2372,0.7561963890164164,0.42476889642229115
VasiVariPaski,Vâsi-vari: Paṣki,lowe1390,28.79418323061677,20.241752765631947
AvestanYounger,Avestan: Younger,aves1237,5.3778212197605715,4.003807447505741
Bactrian,Bactrian,bact1239,11.162624474264774,8.613905169577503
BalochiSistani,Balochi: Sistani,west2368,10.903195240044631,8.168916033424894
Hawrami,Hawrami,hawr1243,8.28350201837875,6.053583258417707
Tati,Tati,take1255,5.873017757076223,4.168770027980212
KurdishCJafi,Kurdish C.: Jafi,cent1972,2.700532610446417,1.6896975774719203
KurdishNBahdini,Kurdish N.: Bahdini,nort2641,23.806474894437837,21.55825608839242
KurdishSElami,Kurdish S.: Elami,feyl1238,9.338604830362437,7.4513587695817325
KurdishSQorveh,Kurdish S.: Qorveh,koly1245,7.003108686598941,5.488418354236968
Mazanderani,Mazanderani,maza1291,7.469391481188296,5.283059248901274
RajiBarzoki,Raji: Barzoki,cent2264,4.260494501943206,2.885120703298591
Parthian,Parthian,part1239,9.456749589483794,7.767869010390753
Khwarazmian,Khwarazmian,khwa1238,13.69837405589886,10.585779681409516
Sogdian,Sogdian,sogd1245,6.908526164384358,5.2046209145274895
Yaghnobi,Yaghnobi,yagn1238,16.643644386162375,11.659215497105247
OsseticDigor,Ossetic: Digor,digo1242,2.5529835805684535,1.5643214121347815
OsseticIron,Ossetic: Iron,iron1242,3.025487463071746,2.128325391342043
Bakhtiari,Bakhtiari,bakh1245,3.907972891391585,2.6913159558895616
Kumzari,Kumzari,kumz1235,27.388025454094688,26.15510933092834
Delvari,Delvari,sout2645,3.842277013012458,2.716464211480592
Lari,Lari,lari1253,8.747292604823551,7.187593894286444
PersianTehran,Persian: Tehran,west2369,1.9086527866096268,1.1528082786321696
MiddlePersian,Middle Persian,pahl1241,6.348584043147515,4.95621742771331
OldPersian,Old Persian,oldp1254,6.86397165585936,4.94991301761656
Pashto,Pashto,yusu1238,26.9166166382348,18.632691952826864
Sarikoli,Sarikoli,sari1246,28.34414734965706,19.002130717038938
Khotanese,Khotanese,khot1251,15.461794374685638,12.255701915714491
Wakhi,Wakhi,wakh1245,27.601891399096964,19.794146806045124
Hittite,Hittite,hitt1242,13.124206274421594,9.413439656414756
Luvian,Luvian,cune1239,19.920363898061666,14.822080531221129
