label,name,glottocode,weightedSpikes,weightedSpikes_median
Badga,Badga,bada1257,14.425375134102344,13.329029409739297
Betta_Kurumba,Betta Kurumba,bett1235,33.34810320456881,30.979534504539203
Kannada,Kannada,nucl1305,6.628861550182524,5.038660851837473
Kodava,Kodava,koda1255,3.7450319230616795,2.309932870555984
Malayalam,Malayalam,mala1464,9.910642791319646,9.112432023327631
Yeruva,Yeruva,ravu1237,9.465746138687804,8.720378454932835
Tamil,Tamil,tami1289,15.117212376981454,14.044045887451903
Toda,Toda,toda1252,40.04924645833447,37.222468701139874
Kota,Kota,kota1263,16.68480873393996,15.437728792016017
Tulu,Tulu,tulu1258,25.379027993796296,23.457731158490162
Gondi,Gondi,nort2702,58.006518991248484,53.90848977421042
Koya,Koya,koya1251,7.324389595107068,5.775631808662454
Telugu,Telugu,telu1262,4.665468680519946,2.789187936176166
Kuwi,Kuwi,kuvi1243,101.57901405988736,94.59188180490445
Kolami,Kolami,nort2699,39.99656611677712,37.14317420038355
Ollari_Gadba,Ollari Gadba,pott1240,46.8760352411852,43.14812126034308
Parji,Parji,duru1236,1.1516197524929044,0.3917979649478712
Brahui,Brahui,brah1256,140.89735637164065,129.84153722338306
Kurukh,Kurukh,kuru1302,8.338930482127342,4.312269321788649
Malto,Malto,saur1249,69.8028857067183,64.13277589232047
