lang,name,glottocode,weightedSpikes,weightedSpikes_median
Kumzari,Kumzari,kumz1235,6.1030782069043745,4.318728753503308
Mazanderani,Mazanderani,maza1291,5.061090188000582,3.6905875534210697
Tati,Tati,take1255,3.7414585213758036,2.8591495859685376
RajiBarzoki,Raji: Barzoki,cent2264,4.579246435155866,3.4449256284680527
Hawrami,Hawrami,hawr1243,4.810396987233873,3.574521921788264
KurdishCJafi,Kurdish C.: Jafi,cent1972,3.4847752698498327,2.656534056933388
KurdishSElami,Kurdish S.: Elami,feyl1238,5.053036799829829,3.668040767040071
KurdishSQorveh,Kurdish S.: Qorveh,koly1245,4.670581896288421,3.533416785180861
KurdishNBahdini,Kurdish N.: Bahdini,nort2641,6.352134339207029,4.43086555940654
BalochiSistani,Balochi: Sistani,west2368,7.045280434529726,5.292228614077892
MiddlePersian,Middle Persian,pahl1241,4.924733341240262,3.8926985057529757
Parthian,Parthian,part1239,5.307132868739338,4.231344049696894
OldPersian,Old Persian,oldp1254,5.285547662201741,4.055060439047186
Hittite,Hittite,hitt1242,9.283683420269726,7.206813387869665
Luvian,Luvian,cune1239,10.912012211853574,8.399933972626352
