Name,Description
Raminyeri,
Gurrgoni,
Nakara,
Jiwarli,
Burarra,
Kalaamaya,
Tharrayi,"tindale's Tedei, per Doug Marmion. Probably the same as Thirrily (Southern Yingkarta?)"
Badimaya,
Nhanda,
Thaagurda,"Language mentioned in Doug Marmion's honour's thesis; not otherwise attested but seems to be a separate language"
Wajarri,
Kolakngat,Kolakngat
Bunganditj,
Birrpayi,
Wathawurrung,
Hunter River Lake Macquarie,
Worimi,
Aghu Tharnggala,
Katthang,
Lamalama,
Nhirrpi,
Pirlatapa,
Diyari,
Kungkarri,
Yawarrawarrka,
Pirriya,
Yarluyandi,
Ngamini,
Ngantangarra,
Wangkumara,
Thirarri,
Arabana,
Malkana,
Punthamara,
Yingkarta,
Wagiman,
Tiwi,
Gaagudju,
Kungarakany,
Warungu,
Mangarrayi,
Djinba,
Gugu Badhun,
Yan-nhangu,
Dhangu,
Djangu,
Golpa,
Ngardi,
Djinang,
Manjiljarra,
Wangkajunga,
Yindjibarndi,
Ngarla,
Karranga,
Yinhawangka,
Bilinarra,
Walmajarri,
Warlpiri,
Warlmanpa,
Wurlayi,
Ngarinyman,
Mudburra,
Gurindji,
Malngin,
Jaru,
Jiwarliny,
Wanyjirra,
Garandi,
Barranbinya,
Southern Anaiwan,
Kokiny,
Ribh,
Olkola,
Gugu Djangun,
Wik-Alkan,
Wik-Ngatharr,
Wik-Paacha,
Wik-Ep,
Wik-Ngathan,
Wik Me'anh,
Pakanh,
Kuuk Yak,
Kuuk Thaayorre,
Yintyingka,
Umpithamu,
Umbuygamu,
Rimanggudinhma,
Walangama,
Agwamin,
Takalak,
Athima,
Ikarranggal,
Uw Oykangand,
Ogunyjan,
Koko-Babángk,
Menthe,
Yunggurr,
Pungupungu,
Maranunggu,
Tyerraty,
Ngan'gikurunggurr,
Marrithiel,
Marri Tjevin,
Marri Dan,
Winjarumi,
Nyaanyatjarra,
Tjupan,
Ngaanyatjarra,
Kuwarra,
Cundeelee Wangka,
Yetimarala,
Wapabara,
Ara-ara,
Gara-gara,
Yandjibara,
Dharawala,
Ngaro,
Wilyakali,
Paakantyi,
Omeo language,
Yu-Yu,
Dharumba,
Copmanhurst Langugae,
Gold Coast Pimpana,
Condamine- Upper-Clarence,
Middle Clarence,
Lower Richmond,
Tweed-Albert,
Guyambal,
Gugu Wakura,
Koogobatha,
Awu Alaya,
Ogh-Alungul,
Koko Dhawa,
Ogh Awarrangg,
Agu Aloja,
Ogh-Angkula,
Wik Iyanh,
Uw El,
Yirrk Thangalkl,
Southern Kaantju,
