fid,Name
386,Nhanda
387,Thaagurda
388,Wajarri
389,Kolakngat
390,Bunganditj
391,Birrpayi
392,Wathawurrung
393,Awabakal
394,Worimi
395,Aghu Tharnggala
396,Katthang
398,Lamalama
399,Nhirrpi
400,Pirlatapa
401,Diyari
402,Kungkarri
403,Yawarrawarrka
404,Pirriya
405,Yarluyandi
406,Ngamini
407,Ngantangarra
408,Wangkumara
409,Thirarri
410,Arabana
411,Malkana
412,Punthamara
413,Tharrayi
414,Manthi
415,Wagiman
416,Tiwi
417,Gaagudju
418,Kungarakany
419,Warungu
420,Mangarrayi
421,Djinba
422,Gugu Badhun
423,Yan
424,Dhangu
425,Djangu
426,Golpa
427,Ngardi
428,Djinang
429,Manjiljarra
430,Wangkajunga
431,Yindjibarndi
432,Ngarla
433,Karranga
434,Yinhawangka
435,Bilinarra
436,Walmajarri
437,Warlpiri
438,Warlmanpa
439,Wurlayi
440,Ngarinyman
441,Mudburra
442,Gurindji
443,Malngin
444,Jaru
445,Jiwarliny
446,Wanyjirra
447,Garandi
448,Barranbinya
449,Bandjalang
450,Southern Anaiwan
451,Kokiny
452,Ribh
453,Olkola
454,Djangkun
455,Wik
456,Wik
457,Wik
458,Wik
459,Wik
460,Wik Me'nh
461,Pakanh
462,Kuuk Yak
463,Kuuk Thaayorre
464,Yintyingka
465,Umpithamu
466,Umbuygamu
467,Rimanggudinhma
468,Walangama
469,Agwamin
470,Takalak
471,Athima
472,Ikarranggal
473,Guku Mini
474,Uw Oykangand
475,Ogunyjan
